Frame #,Pressure (hP),Temperature (?C),Humidity (%),GPS Alt.,GPS Wind Dir. ,GPS Wind Spd. 
115,974.8,33.6,52,0,0,   0 0000000000000000
116,974.7,32.7,51,0,0,   0 0000000000000000
117,974.8,35.7,54,0,0,   0 0000000000000000
118,974.8,35.8,51,0,0,   0 0000000000000000
119,974.9,33.6,51,0,0,   0 0000000000000000
120,974.7,37.1,53,0,0,   0 0000000000000000
121,974.8,36.4,51,0,0,   0 0000000000000000
123,974.9,35.2,49,0,0,   0 0000000000000000
124,974.7,34.8,48,0,0,   0 0000000000000000
125,974.8,36,50,0,0,   0 0000000000000000
126,974.6,37.6,48,0,0,   0 0000000000000000
127,974.6,35,51,0,0,   0 0000000000000000
128,974.2,33,47,0,0,   0 0000000000000000
129,973.9,32,51,0,0,   0 0000000000000000
130,974.1,30,53,0,0,   0 0000000000000000
131,972.8,29.5,54,0,0,   0 0000000000000000
132,972.5,29.4,55,0,0,   0 0000000000000000
133,972.2,29.6,56,0,0,   0 0000000000000000
134,972.5,29.6,57,0,0,   0 0000000000000000
135,972.5,29.4,57,0,0,   0 0000000000000000
136,972.4,29.5,58,0,0,   0 0000000000000000
137,971.8,29.5,58,0,0,   0 0000000000000000
138,971.6,29.3,59,0,0,   0 0000000000000000
139,971.9,29.4,59,0,0,   0 0000000000000000
140,971.3,29.4,59,0,0,   0 0000000000000000
141,971.2,29.4,59,0,0,   0 0000000000000000
142,970.7,29.3,59,0,0,   0 0000000000000000
143,970.5,29.4,60,0,0,   0 0000000000000000
144,969.9,29.4,60,0,0,   0 0000000000000000
145,969.4,29.5,60,0,0,   0 0000000000000000
146,968.8,29.3,60,0,0,   0 0000000000000000
147,968.2,29.4,61,0,0,   0 0000000000000000
149,967.8,29.2,60,0,0,   0 0000000000000000
150,967.6,29.1,60,0,0,   0 0000000000000000
151,967.5,29.1,59,0,0,   0 0000000000000000
152,967.4,29,60,0,0,   0 0000000000000000
153,966.8,29.1,60,0,0,   0 0000000000000000
154,966.8,29,60,0,0,   0 0000000000000000
155,966.8,29,60,0,0,   0 0000000000000000
156,966.8,29,60,0,0,   0 0000000000000000
157,966.3,29,61,0,0,   0 0000000000000000
158,966.3,29,61,0,0,   0 0000000000000000
159,966.1,29,60,0,0,   0 0000000000000000
160,966,29,61,0,0,   0 0000000000000000
161,965.7,29,61,0,0,   0 0000000000000000
162,965.7,29,61,0,0,   0 0000000000000000
163,965.7,29,61,0,0,   0 0000000000000000
164,965.9,29,61,0,0,   0 0000000000000000
165,966,29,61,0,0,   0 0000000000000000
166,966.2,29.1,61,0,0,   0 0000000000000000
168,966.3,29.1,61,0,0,   0 0000000000000000
169,966.5,29.2,61,0,0,   0 0000000000000000
170,966.2,29.2,62,0,0,   0 0000000000000000
171,965.9,29.2,62,0,0,   0 0000000000000000
172,965.5,29.1,61,0,0,   0 0000000000000000
173,965.3,29.1,61,0,0,   0 0000000000000000
174,965.3,29.1,62,0,0,   0 0000000000000000
175,965.1,29.1,62,0,0,   0 0000000000000000
176,964.9,29.1,62,0,0,   0 0000000000000000
177,965,29,62,0,0,   0 0000000000000000
178,964.8,29.1,62,0,0,   0 0000000000000000
179,964.8,28.9,61,0,0,   0 0000000000000000
180,964.4,28.9,61,0,0,   0 0000000000000000
181,964,28.8,61,0,0,   0 0000000000000000
182,964.6,28.8,60,0,0,   0 0000000000000000
183,964.7,28.9,60,0,0,   0 0000000000000000
0,964.5,28.9,61,0,0,   0 0000000000000000
185,964.2,28.9,61,0,0,   0 0000000000000000
186,964.2,28.8,61,0,0,   0 0000000000000000
187,964.3,28.8,61,0,0,   0 0000000000000000
188,964.5,28.8,61,0,0,   0 0000000000000000
189,964.7,28.9,61,0,0,   0 0000000000000000
190,964.9,28.9,62,0,0,   0 0000000000000000
191,964.8,28.8,61,0,0,   0 0000000000000000
193,965,29,62,0,0,   0 0000000000000000
194,964.5,29,63,0,0,   0 0000000000000000
195,964.4,29,63,0,0,   0 0000000000000000
199,964.2,29.1,62,0,0,   0 0000000000000000
200,964.2,29,62,0,0,   0 0000000000000000
201,964.5,29,62,0,0,   0 0000000000000000
202,964.8,28.9,62,0,0,   0 0000000000000000
203,965.4,29,62,0,0,   0 0000000000000000
204,966.1,29,61,0,0,   0 0000000000000000
205,966.2,29,60,0,0,   0 0000000000000000
206,966.6,29,60,0,0,   0 0000000000000000
207,966.9,29,60,0,0,   0 0000000000000000
208,967.3,28.9,60,0,0,   0 0000000000000000
209,967.8,29,60,0,0,   0 0000000000000000
210,968.2,29.1,60,0,0,   0 0000000000000000
211,968.7,29.1,60,0,0,   0 0000000000000000
212,969.3,29.1,60,0,0,   0 0000000000000000
213,969.7,29.2,60,0,0,   0 0000000000000000
214,970,29.3,61,0,0,   0 0000000000000000
215,970.1,29.6,62,0,0,   0 0000000000000000
216,970.3,29.5,61,0,0,   0 0000000000000000
218,970.6,29.7,60,0,0,   0 0000000000000000
219,970.6,29.7,61,0,0,   0 0000000000000000
220,970.9,29.7,61,0,0,   0 0000000000000000
222,971.5,29.9,62,0,0,   0 0000000000000000
223,971.9,29.4,59,0,0,   0 0000000000000000
224,971.9,29.5,60,0,0,   0 0000000000000000
225,971.8,29.5,60,0,0,   0 0000000000000000
226,971.9,30.1,62,0,0,   0 0000000000000000
227,972.2,29.5,60,0,0,   0 0000000000000000
228,972.6,29.7,59,0,0,   0 0000000000000000
229,973,29.5,59,0,0,   0 0000000000000000
230,973.1,29.6,60,0,0,   0 0000000000000000
231,973.4,29.7,60,0,0,   0 0000000000000000
232,973.4,29.9,61,0,0,   0 0000000000000000
233,973.9,29.6,59,0,0,   0 0000000000000000
234,973.9,29.7,60,0,0,   0 0000000000000000
235,974.4,29.9,60,0,0,   0 0000000000000000
236,974.3,29.9,60,0,0,   0 0000000000000000
237,974.3,30,60,0,0,   0 0000000000000000
238,974.5,31.2,63,0,0,   0 0000000000000000
239,974.4,31.9,59,0,0,   0 0000000000000000
240,973.8,30.5,57,0,0,   0 0000000000000000
241,973.8,29.7,56,0,0,   0 0000000000000000
242,973.5,29.7,57,0,0,   0 0000000000000000
243,973,29.6,57,0,0,   0 0000000000000000
244,972.8,29.5,58,0,0,   0 0000000000000000
