alt_of_detection_km,lat_of_detection,lon_of_detection,vert_wavelength_km,horiz_wavelength_km,propagation_dir,axial_ratio,int_vert_group_vel_ms,int_horiz_group_vel_ms,int_vert_phase_spd_ms,int_horiz_phase_spd_ms,degreeofpolarization,stokes_param_Q
17.04,-30.182159,-70.669665,0.792097865414466,101.49688998997,161.1566279737,1.77365149282711,-0.0157287988570245,2.01543803735724,0.0230587030702885,2.95466854668502,0.974171278227838,-0.727334051923462
19.615,-30.17314,-70.552641,0.405654808407292,33.3942386140894,-39.953271425733,2.79329381979804,-0.0162142060663633,1.33478281311164,0.0185977752005196,1.53100254173193,0.984405313451284,-0.0528122590432803
22.6,-30.135601,-70.474684,0.523241294435922,9.34457459912968,97.3246150398208,4.09985123517938,-0.0331146384689599,0.59139485508306,0.0352093376268642,0.628804120658845,0.964923571361126,-0.148833307294464
28.2275,-30.09627,-70.337087,0.749863414930298,56.4384825920762,253.95560525299,1.77268299473297,-0.0148744324986254,1.11952441328094,0.0218172992768054,1.64207939862562,0.927981670074474,-0.288491682278551
17.04,-30.182,-70.67,0.7921,101.5,161.16,1.7737,-0.015729,2.0154,0.023059,2.9547,0.97417,-0.72733
19.615,-30.173,-70.553,0.40565,33.394,-39.953,2.7933,-0.016214,1.3348,0.018598,1.531,0.98441,-0.052812
22.6,-30.136,-70.475,0.52324,9.3446,97.325,4.0999,-0.033115,0.59139,0.035209,0.6288,0.96492,-0.14883
28.227,-30.096,-70.337,0.74986,56.438,253.96,1.7727,-0.014874,1.1195,0.021817,1.6421,0.92798,-0.28849
17.04,-30.182,-70.67,0.7921,101.5,161.16,1.7737,-0.015729,2.0154,0.023059,2.9547,0.97417,-0.72733
19.615,-30.173,-70.553,0.40565,33.394,-39.953,2.7933,-0.016214,1.3348,0.018598,1.531,0.98441,-0.052812
22.6,-30.136,-70.475,0.52324,9.3446,97.325,4.0999,-0.033115,0.59139,0.035209,0.6288,0.96492,-0.14883
28.227,-30.096,-70.337,0.74986,56.438,253.96,1.7727,-0.014874,1.1195,0.021817,1.6421,0.92798,-0.28849
17.04,-30.182,-70.67,0.7921,101.5,161.16,1.7737,-0.015729,2.0154,0.023059,2.9547,0.97417,-0.72733
19.615,-30.173,-70.553,0.40565,33.394,-39.953,2.7933,-0.016214,1.3348,0.018598,1.531,0.98441,-0.052812
22.6,-30.136,-70.475,0.52324,9.3446,97.325,4.0999,-0.033115,0.59139,0.035209,0.6288,0.96492,-0.14883
28.227,-30.096,-70.337,0.74986,56.438,253.96,1.7727,-0.014874,1.1195,0.021817,1.6421,0.92798,-0.28849
17.04,-30.182,-70.67,0.7921,101.5,161.16,1.7737,-0.015729,2.0154,0.023059,2.9547,0.97417,-0.72733
19.615,-30.173,-70.553,0.40565,33.394,-39.953,2.7933,-0.016214,1.3348,0.018598,1.531,0.98441,-0.052812
22.6,-30.136,-70.475,0.52324,9.3446,97.325,4.0999,-0.033115,0.59139,0.035209,0.6288,0.96492,-0.14883
28.227,-30.096,-70.337,0.74986,56.438,253.96,1.7727,-0.014874,1.1195,0.021817,1.6421,0.92798,-0.28849
17.04,-30.182,-70.67,0.7921,101.5,161.16,1.7737,-0.015729,2.0154,0.023059,2.9547,0.97417,-0.72733
19.615,-30.173,-70.553,0.40565,33.394,-39.953,2.7933,-0.016214,1.3348,0.018598,1.531,0.98441,-0.052812
22.6,-30.136,-70.475,0.52324,9.3446,97.325,4.0999,-0.033115,0.59139,0.035209,0.6288,0.96492,-0.14883
28.227,-30.096,-70.337,0.74986,56.438,253.96,1.7727,-0.014874,1.1195,0.021817,1.6421,0.92798,-0.28849
