alt_of_detection_km,lat_of_detection,lon_of_detection,vert_wavelength_km,horiz_wavelength_km,propagation_dir,axial_ratio,int_vert_group_vel_ms,int_horiz_group_vel_ms,int_vert_phase_spd_ms,int_horiz_phase_spd_ms,degreeofpolarization,stokes_param_Q
17.295,-30.138261,-70.752328,1.10637939359022,139.988728088119,103.177499228523,1.98564537780035,-0.026912190409237,3.4051640217458,0.0360573256941272,4.56228594948817,0.956767243090172,-0.905516313897567
18.92,-30.129582,-70.682094,2.54347040678407,325.70592619658,34.0253536017167,1.57968007501283,-0.0395184148550328,5.06055894255658,0.0659452584197023,8.44466733899194,0.981103613565495,-2.48168195493259
19.42,-30.128498,-70.669328,1.42922484244087,31.3668378359623,-13.965749626007,8.6938886287739,-0.201241780211372,4.41660269137926,0.203939980777833,4.47581941998897,0.940440350699644,0.0961491775196831
17.295,-30.138,-70.752,1.1064,139.99,103.18,1.9856,-0.026912,3.4052,0.036057,4.5623,0.95677,-0.90552
18.92,-30.13,-70.682,2.5435,325.71,34.025,1.5797,-0.039518,5.0606,0.065945,8.4447,0.9811,-2.4817
19.42,-30.128,-70.669,1.4292,31.367,-13.966,8.6939,-0.20124,4.4166,0.20394,4.4758,0.94044,0.096149
17.295,-30.138,-70.752,1.1064,139.99,103.18,1.9856,-0.026912,3.4052,0.036057,4.5623,0.95677,-0.90552
18.92,-30.13,-70.682,2.5435,325.71,34.025,1.5797,-0.039518,5.0606,0.065945,8.4447,0.9811,-2.4817
19.42,-30.128,-70.669,1.4292,31.367,-13.966,8.6939,-0.20124,4.4166,0.20394,4.4758,0.94044,0.096149
17.295,-30.138,-70.752,1.1064,139.99,103.18,1.9856,-0.026912,3.4052,0.036057,4.5623,0.95677,-0.90552
18.92,-30.13,-70.682,2.5435,325.71,34.025,1.5797,-0.039518,5.0606,0.065945,8.4447,0.9811,-2.4817
19.42,-30.128,-70.669,1.4292,31.367,-13.966,8.6939,-0.20124,4.4166,0.20394,4.4758,0.94044,0.096149
