Flight Information:
Launch Date:            	     	                       	Tuesday, 02 July 2019	     	                       	          	Launch Time:    	     	             	04:17:13 	       	     	End of Ascent:	     	         	01:31:56
Station name:           	     	                       	                     	     	                       	          	Number of sonde:	     	             	19002554
Ground values:
Pressure:               	     	                       	874.2 hPa            	     	                       	          	Temperature:    	     	             	15.2 ?C  	       	     	Humidity:     	     	         	11 %
Wind Direction:         	     	                       	125 ?                	     	                       	          	Wind Speed:     	     	             	1 m/s    	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-71.063 ?            	     	                       	          	Latitude:       	     	             	-30.250 ?	       	     	Altitude:     	     	         	1283 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                     	     	                       	          	
Events:
Highest Point:          	     	                       	8.0 hPa              	     	                       	          	32479 m
Tropopauses:            	     	                       	1.: 146.3 hPa        	     	                       	          	2.: 70.1 hPa    	     	             	
Max Winds:              	     	                       	1.: 198.4 hPa        	     	                       	          	                	     	             	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                   	Ws   	Wd                     	Long.     	Lat.            	Alt  	Geopot       	MRI      	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range 	D
[sec]                   	[hPa]	[?C]                   	[%]                  	[m/s]	[?]                    	[?]       	[?]             	[m]  	[m]          	         	       	[?C] 	[?C]          	[m/s]	[?]      	[?]     	[m]   	[kg/m3]
0                       	874.2	15.2                   	11                   	0.5  	125                    	-71.063000	-30.250400      	1283 	1283         	437.187  	235.756	-15.0	15.4          	0.0  	30.2     	180     	0     	1.056353
1                       	873.2	15.4                   	11                   	0.5  	123                    	-71.063011	-30.250403      	1289 	1289         	437.694  	235.368	-14.5	15.6          	5.7  	78.3     	237     	6     	1.054558
2                       	872.3	15.5                   	12                   	0.6  	121                    	-71.063021	-30.250406      	1294 	1294         	438.201  	234.980	-14.1	15.8          	5.7  	78.8     	244     	12    	1.052766
3                       	871.3	15.7                   	12                   	0.6  	119                    	-71.063032	-30.250409      	1300 	1300         	438.710  	234.594	-13.7	16.0          	5.7  	79.0     	247     	18    	1.050978
4                       	870.4	15.9                   	12                   	0.6  	117                    	-71.063043	-30.250412      	1306 	1305         	439.219  	234.208	-13.3	16.2          	5.7  	79.0     	248     	23    	1.049193
5                       	869.4	16.1                   	12                   	0.6  	115                    	-71.063054	-30.250415      	1312 	1311         	439.728  	233.823	-12.9	16.4          	5.7  	79.1     	249     	29    	1.047412
6                       	868.5	16.2                   	13                   	0.7  	114                    	-71.063064	-30.250418      	1317 	1316         	440.239  	233.438	-12.5	16.5          	5.7  	79.1     	249     	35    	1.045634
7                       	867.7	16.3                   	13                   	0.7  	112                    	-71.063075	-30.250421      	1323 	1322         	440.852  	233.172	-12.1	16.6          	5.7  	79.1     	250     	41    	1.044391
8                       	867.2	16.3                   	13                   	0.7  	111                    	-71.063086	-30.250424      	1329 	1328         	441.649  	233.075	-12.2	16.6          	5.7  	79.1     	250     	47    	1.043953
9                       	866.7	16.2                   	13                   	0.7  	110                    	-71.063096	-30.250427      	1334 	1333         	442.447  	232.978	-12.2	16.5          	5.7  	79.1     	250     	52    	1.043514
10                      	866.2	16.2                   	13                   	0.8  	109                    	-71.063107	-30.250430      	1340 	1339         	443.245  	232.881	-12.3	16.5          	5.7  	79.1     	250     	58    	1.043076
11                      	865.7	16.1                   	13                   	0.8  	108                    	-71.063118	-30.250433      	1346 	1344         	444.043  	232.783	-12.3	16.4          	5.7  	79.2     	251     	64    	1.042639
12                      	865.1	16.1                   	13                   	0.8  	107                    	-71.063129	-30.250436      	1351 	1350         	444.840  	232.686	-12.3	16.4          	5.7  	79.2     	251     	70    	1.042201
13                      	864.6	16.0                   	13                   	0.8  	106                    	-71.063139	-30.250439      	1357 	1355         	445.632  	232.583	-12.4	16.3          	5.7  	79.2     	251     	76    	1.041735
14                      	864.1	16.0                   	13                   	0.9  	105                    	-71.063150	-30.250442      	1363 	1361         	446.423  	232.480	-12.4	16.3          	5.7  	79.2     	251     	81    	1.041269
15                      	863.5	15.9                   	13                   	0.9  	104                    	-71.063161	-30.250441      	1368 	1367         	447.215  	232.376	-12.4	16.2          	5.7  	79.2     	252     	87    	1.040803
16                      	863.0	15.9                   	13                   	0.9  	103                    	-71.063172	-30.250433      	1374 	1372         	448.006  	232.273	-12.5	16.2          	5.7  	79.4     	256     	93    	1.040337
17                      	862.5	15.8                   	13                   	0.9  	103                    	-71.063184	-30.250425      	1380 	1378         	448.791  	232.178	-12.5	16.1          	5.6  	79.5     	260     	99    	1.039910
18                      	862.0	15.8                   	13                   	1.0  	102                    	-71.063195	-30.250417      	1385 	1383         	449.491  	232.093	-12.6	16.1          	5.0  	79.5     	263     	104   	1.039527
19                      	861.5	15.7                   	13                   	1.0  	101                    	-71.063206	-30.250409      	1390 	1388         	450.207  	232.008	-12.6	16.0          	5.0  	79.5     	266     	109   	1.039144
20                      	861.0	15.7                   	13                   	1.0  	101                    	-71.063218	-30.250400      	1395 	1393         	450.907  	231.923	-12.6	16.0          	5.0  	79.4     	269     	114   	1.038762
21                      	860.6	15.6                   	13                   	1.0  	100                    	-71.063229	-30.250392      	1400 	1398         	451.602  	231.834	-12.7	15.9          	5.0  	79.3     	271     	119   	1.038357
22                      	860.1	15.6                   	13                   	1.1  	100                    	-71.063240	-30.250384      	1405 	1403         	452.311  	231.742	-12.7	15.9          	5.0  	79.2     	274     	124   	1.037941
23                      	859.6	15.5                   	13                   	1.1  	099                    	-71.063252	-30.250376      	1410 	1408         	453.005  	231.650	-12.7	15.8          	5.0  	79.2     	276     	129   	1.037525
24                      	859.1	15.5                   	13                   	1.1  	099                    	-71.063263	-30.250367      	1415 	1413         	453.714  	231.559	-12.7	15.8          	5.0  	79.1     	277     	135   	1.037110
25                      	858.7	15.4                   	13                   	1.1  	098                    	-71.063274	-30.250359      	1420 	1418         	454.407  	231.467	-12.7	15.7          	5.0  	79.0     	279     	140   	1.036695
26                      	858.2	15.4                   	13                   	1.2  	098                    	-71.063286	-30.250351      	1425 	1423         	455.118  	231.377	-12.8	15.7          	5.0  	78.9     	281     	145   	1.036287
27                      	857.7	15.4                   	13                   	1.2  	097                    	-71.063297	-30.250343      	1430 	1428         	455.814  	231.289	-12.8	15.6          	5.0  	78.8     	282     	150   	1.035887
28                      	857.3	15.3                   	13                   	1.2  	097                    	-71.063308	-30.250334      	1435 	1433         	456.527  	231.200	-12.8	15.6          	5.0  	78.7     	283     	155   	1.035487
29                      	856.8	15.3                   	13                   	1.2  	096                    	-71.063320	-30.250326      	1440 	1438         	457.223  	231.112	-12.8	15.6          	5.0  	78.6     	284     	161   	1.035087
30                      	856.3	15.2                   	13                   	1.3  	096                    	-71.063331	-30.250318      	1445 	1443         	457.934  	231.022	-12.9	15.5          	5.0  	78.5     	285     	166   	1.034681
31                      	855.8	15.2                   	13                   	1.3  	098                    	-71.063342	-30.250310      	1450 	1448         	458.610  	230.913	-12.9	15.5          	5.0  	78.4     	286     	171   	1.034187
