Flight Information:
Launch Date:            	     	                       	Tuesday, 02 July 2019	     	                       	          	Launch Time:    	     	             	05:20:30  	          	        	End of Ascent:	     	         	01:34:23
Station name:           	     	                       	                     	     	                       	          	Number of sonde:	     	             	19002704
Ground values:
Pressure:               	     	                       	874.1 hPa            	     	                       	          	Temperature:    	     	             	15.6 ?C   	          	        	Humidity:     	     	         	12 %
Wind Direction:         	     	                       	192 ?                	     	                       	          	Wind Speed:     	     	             	1 m/s     	          	        	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-71.063 ?            	     	                       	          	Latitude:       	     	             	-30.250 ? 	          	        	Altitude:     	     	         	1283 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                     	     	                       	          	
Events:
Highest Point:          	     	                       	6.8 hPa              	     	                       	          	33576 m
Tropopauses:            	     	                       	1.: 165.3 hPa        	     	                       	          	2.: 71.9 hPa    	     	             	
Max Winds:              	     	                       	1.: 194.3 hPa        	     	                       	          	                	     	             	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                   	Ws   	Wd                     	Long.     	Lat.            	Alt  	Geopot       	MRI       	RI        	Dewp.   	Virt. Temp    	Rs   	Elevation	Azimuth 	Range 	D
[sec]                   	[hPa]	[?C]                   	[%]                  	[m/s]	[?]                    	[?]       	[?]             	[m]  	[m]          	          	          	[?C]    	[?C]          	[m/s]	[?]      	[?]     	[m]   	[kg/m3]
0                       	874.1	15.6                   	12                   	0.8  	192                    	-71.063000	-30.250400      	1283 	1283         	436.877   	235.446   	-13.6   	15.9          	0.0  	30.2     	180     	0     	1.054769
1                       	873.0	15.8                   	12                   	0.8  	192                    	-71.063004	-30.250409      	1288 	1288         	437.190   	235.005   	-13.2   	16.1          	4.8  	74.4     	198     	5     	1.052738
2                       	871.8	16.0                   	13                   	0.9  	191                    	-71.063009	-30.250418      	1293 	1292         	437.504   	234.565   	-12.8   	16.2          	4.8  	75.7     	200     	10    	1.050712
3                       	870.8	16.1                   	13                   	0.9  	191                    	-71.063013	-30.250427      	1298 	1297         	437.870   	234.163   	-12.4   	16.4          	4.8  	76.3     	201     	15    	1.048855
4                       	870.3	16.3                   	13                   	0.9  	190                    	-71.063018	-30.250436      	1302 	1302         	438.348   	233.887   	-12.0   	16.6          	4.8  	76.5     	202     	20    	1.047564
5                       	869.7	16.5                   	13                   	1.0  	189                    	-71.063022	-30.250445      	1307 	1306         	438.825   	233.611   	-11.6   	16.8          	4.8  	76.7     	202     	25    	1.046275
6                       	869.2	16.7                   	14                   	1.0  	187                    	-71.063027	-30.250454      	1312 	1311         	439.303   	233.335   	-11.2   	17.0          	4.8  	76.7     	202     	30    	1.044989
7                       	868.7	16.7                   	14                   	1.0  	185                    	-71.063031	-30.250463      	1317 	1316         	439.935   	233.198   	-11.0   	17.0          	4.8  	76.8     	202     	35    	1.044319
8                       	868.3	16.7                   	14                   	1.0  	179                    	-71.063036	-30.250472      	1322 	1320         	440.597   	233.106   	-11.0   	17.0          	4.8  	76.9     	202     	40    	1.043896
9                       	867.8	16.6                   	14                   	1.1  	156                    	-71.063040	-30.250481      	1326 	1325         	441.257   	233.013   	-11.0   	17.0          	4.8  	76.9     	203     	45    	1.043473
10                      	867.4	16.6                   	14                   	1.1  	060                    	-71.063045	-30.250490      	1331 	1330         	441.918   	232.920   	-11.0   	16.9          	4.8  	76.9     	203     	50    	1.043051
11                      	866.9	16.6                   	14                   	1.1  	032                    	-71.063049	-30.250499      	1336 	1334         	442.591   	232.824   	-11.0   	16.9          	4.8  	77.0     	203     	55    	1.042615
12                      	866.4	16.5                   	14                   	1.2  	025                    	-71.063054	-30.250509      	1341 	1339         	443.245   	232.724   	-11.0   	16.8          	4.8  	77.0     	203     	60    	1.042161
13                      	865.9	16.5                   	14                   	1.2  	022                    	-71.063060	-30.250524      	1346 	1344         	443.899   	232.624   	-11.0   	16.8          	4.8  	76.4     	203     	65    	1.041708
14                      	865.4	16.4                   	14                   	1.2  	020                    	-71.063068	-30.250540      	1351 	1348         	444.553   	232.524   	-11.0   	16.8          	4.8  	75.8     	202     	70    	1.041255
15                      	864.9	16.4                   	14                   	1.3  	019                    	-71.063075	-30.250556      	1356 	1354         	445.318   	232.426   	-11.0   	16.7          	5.5  	75.4     	202     	76    	1.040810
16                      	864.5	16.4                   	14                   	1.3  	019                    	-71.063082	-30.250573      	1362 	1359         	446.118   	232.346   	-11.0   	16.7          	5.5  	75.1     	202     	82    	1.040446
17                      	864.1	16.3                   	14                   	1.3  	018                    	-71.063089	-30.250589      	1367 	1365         	446.901   	232.266   	-11.0   	16.7          	5.5  	74.8     	202     	87    	1.040082
18                      	863.7	16.3                   	14                   	1.3  	018                    	-71.063096	-30.250606      	1373 	1371         	447.685   	232.186   	-11.1   	16.6          	5.5  	74.5     	202     	93    	1.039718
19                      	863.3	16.3                   	14                   	1.4  	017                    	-71.063103	-30.250622      	1378 	1376         	448.484   	232.107   	-11.1   	16.6          	5.5  	74.3     	202     	99    	1.039355
20                      	862.9	16.2                   	14                   	1.4  	017                    	-71.063110	-30.250639      	1384 	1382         	449.268   	232.028   	-11.1   	16.6          	5.5  	74.1     	202     	105   	1.038995
21                      	862.4	16.2                   	14                   	1.4  	017                    	-71.063117	-30.250655      	1389 	1387         	450.047   	231.927   	-11.1   	16.5          	5.5  	73.9     	202     	111   	1.038537
