Flight Information:
Launch Date:            	     	                       	Tuesday, 02 July 2019	     	                       	          	Launch Time:    	     	             	06:13:07 	       	      	End of Ascent:	     	         	01:36:08
Station name:           	     	                       	                     	     	                       	          	Number of sonde:	     	             	19002721
Ground values:
Pressure:               	     	                       	873.9 hPa            	     	                       	          	Temperature:    	     	             	15.0 ?C  	       	      	Humidity:     	     	         	12 %
Wind Direction:         	     	                       	45 ?                 	     	                       	          	Wind Speed:     	     	             	1 m/s    	       	      	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-71.063 ?            	     	                       	          	Latitude:       	     	             	-30.250 ?	       	      	Altitude:     	     	         	1283 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                     	     	                       	          	
Events:
Highest Point:          	     	                       	8.7 hPa              	     	                       	          	32141 m
Tropopauses:            	     	                       	1.: 160.8 hPa        	     	                       	          	2.: 68.7 hPa    	     	             	
Max Winds:              	     	                       	1.: 196.2 hPa        	     	                       	          	2.: 59.5 hPa    	     	             	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                   	Ws   	Wd                     	Long.     	Lat.            	Alt  	Geopot       	MRI      	RI     	Dewp. 	Virt. Temp    	Rs   	Elevation	Azimuth 	Range 	D
[sec]                   	[hPa]	[?C]                   	[%]                  	[m/s]	[?]                    	[?]       	[?]             	[m]  	[m]          	         	       	[?C]  	[?C]          	[m/s]	[?]      	[?]     	[m]   	[kg/m3]
0                       	873.9	15.0                   	12                   	0.5  	045                    	-71.063000	-30.250400      	1283 	1283         	437.315  	235.884	-14.1 	15.3          	0.0  	30.2     	180     	0     	1.056723
1                       	872.7	15.2                   	12                   	0.5  	044                    	-71.062997	-30.250405      	1288 	1288         	437.659  	235.411	-13.6 	15.5          	5.2  	79.8     	160     	5     	1.054547
2                       	871.5	15.4                   	13                   	0.5  	043                    	-71.062993	-30.250411      	1294 	1293         	438.019  	234.940	-13.2 	15.7          	5.2  	81.3     	156     	11    	1.052376
3                       	870.5	15.6                   	13                   	0.5  	042                    	-71.062990	-30.250416      	1299 	1298         	438.402  	234.506	-12.8 	15.9          	5.2  	81.7     	154     	16    	1.050376
4                       	869.9	15.8                   	13                   	0.5  	040                    	-71.062986	-30.250421      	1304 	1304         	438.919  	234.191	-12.3 	16.1          	5.2  	82.0     	153     	21    	1.048907
5                       	869.3	16.0                   	13                   	0.5  	039                    	-71.062983	-30.250426      	1309 	1309         	439.421  	233.876	-11.9 	16.3          	5.2  	82.1     	153     	27    	1.047441
6                       	868.7	16.2                   	14                   	0.5  	038                    	-71.062979	-30.250432      	1314 	1314         	439.923  	233.562	-11.5 	16.5          	5.2  	82.2     	152     	32    	1.045977
7                       	868.2	16.3                   	14                   	0.5  	037                    	-71.062976	-30.250437      	1320 	1319         	440.591  	233.398	-11.2 	16.6          	5.2  	82.3     	152     	37    	1.045186
8                       	867.8	16.3                   	14                   	0.5  	035                    	-71.062972	-30.250442      	1325 	1324         	441.310  	233.301	-11.1 	16.6          	5.2  	82.3     	152     	42    	1.044737
9                       	867.3	16.2                   	14                   	0.5  	034                    	-71.062969	-30.250448      	1330 	1329         	442.043  	233.202	-11.2 	16.6          	5.2  	82.3     	152     	48    	1.044288
10                      	866.9	16.2                   	14                   	0.5  	033                    	-71.062965	-30.250453      	1335 	1334         	442.761  	233.103	-11.2 	16.5          	5.2  	82.4     	152     	53    	1.043839
11                      	866.4	16.2                   	14                   	0.5  	031                    	-71.062962	-30.250458      	1341 	1339         	443.469  	232.995	-11.2 	16.5          	5.2  	82.4     	152     	58    	1.043349
12                      	865.9	16.2                   	14                   	0.5  	030                    	-71.062958	-30.250464      	1346 	1344         	444.179  	232.873	-11.2 	16.5          	5.2  	82.4     	151     	64    	1.042798
13                      	865.3	16.1                   	14                   	0.5  	029                    	-71.062955	-30.250469      	1351 	1350         	444.874  	232.751	-11.2 	16.5          	5.2  	82.4     	151     	69    	1.042247
14                      	864.8	16.1                   	14                   	0.5  	027                    	-71.062951	-30.250474      	1356 	1355         	445.585  	232.630	-11.2 	16.4          	5.2  	82.5     	151     	74    	1.041697
15                      	864.3	16.1                   	14                   	0.5  	026                    	-71.062948	-30.250479      	1362 	1360         	446.280  	232.508	-11.2 	16.4          	5.2  	82.5     	151     	79    	1.041147
16                      	863.8	16.1                   	14                   	0.5  	024                    	-71.062946	-30.250494      	1367 	1365         	446.987  	232.400	-11.2 	16.4          	5.2  	81.9     	154     	85    	1.040655
17                      	863.3	16.0                   	14                   	0.5  	023                    	-71.062945	-30.250509      	1372 	1370         	447.713  	232.293	-11.2 	16.4          	5.2  	81.4     	157     	90    	1.040171
