Flight Information:
Launch Date:            	     	                        	Tuesday, 02 July 2019	     	                       	          	Launch Time:    	     	             	07:20:05 	       	     	End of Ascent:	     	         	01:53:19
Station name:           	     	                        	                     	     	                       	          	Number of sonde:	     	             	19001876
Ground values:
Pressure:               	     	                        	873.3 hPa            	     	                       	          	Temperature:    	     	             	14.8 ?C  	       	     	Humidity:     	     	         	13 %
Wind Direction:         	     	                        	35 ?                 	     	                       	          	Wind Speed:     	     	             	1 m/s    	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                        	-71.063 ?            	     	                       	          	Latitude:       	     	             	-30.250 ?	       	     	Altitude:     	     	         	1283 m
Staff:
Company:                	     	                        	
Operator:               	     	                        	                     	     	                       	          	
Events:
Highest Point:          	     	                        	7.4 hPa              	     	                       	          	33040 m
Tropopauses:            	     	                        	1.: 183.9 hPa        	     	                       	          	2.: 64.1 hPa    	     	             	
Max Winds:              	     	                        	1.: 169.7 hPa        	     	                       	          	2.: 96.2 hPa    	     	             	
Remarks:

Profile Data:
Time                    	P    	T                       	Hu                   	Ws   	Wd                     	Long.     	Lat.            	Alt  	Geopot       	MRI      	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range 	D
[sec]                   	[hPa]	[?C]                    	[%]                  	[m/s]	[?]                    	[?]       	[?]             	[m]  	[m]          	         	       	[?C] 	[?C]          	[m/s]	[?]      	[?]     	[m]   	[kg/m3]
0                       	873.3	14.8                    	13                   	1.2  	035                    	-71.063000	-30.250400      	1283 	1283         	437.363  	235.932	-13.3	15.1          	0.0  	30.2     	180     	0     	1.056731
1                       	872.1	15.0                    	13                   	1.2  	035                    	-71.062999	-30.250405      	1288 	1288         	437.627  	235.443	-12.8	15.3          	4.8  	80.3     	171     	5     	1.054482
2                       	870.8	15.2                    	14                   	1.1  	036                    	-71.062997	-30.250409      	1293 	1292         	437.877  	234.955	-12.4	15.5          	4.8  	81.9     	169     	10    	1.052238
3                       	869.9	15.4                    	14                   	1.1  	036                    	-71.062996	-30.250414      	1297 	1297         	438.213  	234.537	-12.0	15.7          	4.8  	82.5     	168     	15    	1.050309
4                       	869.3	15.6                    	14                   	1.1  	037                    	-71.062995	-30.250419      	1302 	1302         	438.656  	234.242	-11.6	15.9          	4.8  	82.7     	168     	19    	1.048930
5                       	868.8	15.8                    	14                   	1.1  	037                    	-71.062993	-30.250423      	1307 	1306         	439.115  	233.947	-11.1	16.2          	4.8  	82.9     	167     	24    	1.047553
6                       	868.3	16.0                    	15                   	1.0  	038                    	-71.062992	-30.250428      	1312 	1311         	439.559  	233.653	-10.7	16.4          	4.8  	83.0     	167     	29    	1.046179
7                       	867.9	16.1                    	15                   	1.0  	038                    	-71.062990	-30.250433      	1316 	1315         	440.155  	233.495	-10.4	16.4          	4.8  	83.1     	167     	34    	1.045414
8                       	867.4	16.1                    	15                   	1.0  	039                    	-71.062989	-30.250437      	1321 	1320         	440.764  	233.367	-10.4	16.5          	4.8  	83.2     	167     	38    	1.044838
