Flight Information:
Launch Date:            	     	                        	Tuesday, 02 July 2019	     	                       	          	Launch Time:    	     	             	08:18:47  	          	        	End of Ascent:	     	         	01:52:22
Station name:           	     	                        	                     	     	                       	          	Number of sonde:	     	             	19002566
Ground values:
Pressure:               	     	                        	873.1 hPa            	     	                       	          	Temperature:    	     	             	14.7 ?C   	          	        	Humidity:     	     	         	13 %
Wind Direction:         	     	                        	47 ?                 	     	                       	          	Wind Speed:     	     	             	1 m/s     	          	        	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                        	-71.063 ?            	     	                       	          	Latitude:       	     	             	-30.250 ? 	          	        	Altitude:     	     	         	1283 m
Staff:
Company:                	     	                        	
Operator:               	     	                        	                     	     	                       	          	
Events:
Highest Point:          	     	                        	6.3 hPa              	     	                       	          	34172 m
Tropopauses:            	     	                        	1.: 184.5 hPa        	     	                       	          	2.: 62.2 hPa    	     	             	
Max Winds:              	     	                        	1.: 175.2 hPa        	     	                       	          	2.: 96.3 hPa    	     	             	
Remarks:

Profile Data:
Time                    	P    	T                       	Hu                   	Ws   	Wd                     	Long.     	Lat.            	Alt  	Geopot       	MRI       	RI        	Dewp.   	Virt. Temp    	Rs   	Elevation	Azimuth 	Range 	D
[sec]                   	[hPa]	[?C]                    	[%]                  	[m/s]	[?]                    	[?]       	[?]             	[m]  	[m]          	          	          	[?C]    	[?C]          	[m/s]	[?]      	[?]     	[m]   	[kg/m3]
0                       	873.1	14.7                    	13                   	1.0  	047                    	-71.063000	-30.250400      	1283 	1283         	437.391   	235.960   	-13.3   	15.0          	0.0  	30.2     	180     	0     	1.056856
1                       	871.9	14.5                    	13                   	1.0  	048                    	-71.062969	-30.250390      	1288 	1288         	438.023   	235.807   	-13.1   	14.8          	5.0  	59.5     	076     	6     	1.056084
2                       	870.6	14.3                    	14                   	1.0  	049                    	-71.062938	-30.250381      	1293 	1293         	438.640   	235.655   	-12.9   	14.6          	5.0  	58.4     	073     	12    	1.055312
3                       	869.8	14.1                    	14                   	1.0  	050                    	-71.062908	-30.250371      	1298 	1297         	439.393   	235.622   	-12.7   	14.4          	5.0  	58.2     	072     	18    	1.055077
4                       	869.4	13.9                    	15                   	1.0  	051                    	-71.062877	-30.250361      	1303 	1302         	440.225   	235.686   	-12.5   	14.2          	5.0  	58.0     	071     	24    	1.055274
5                       	868.9	13.7                    	15                   	1.1  	053                    	-71.062846	-30.250352      	1308 	1307         	441.074   	235.750   	-12.3   	14.0          	5.0  	57.9     	071     	29    	1.055472
6                       	868.5	13.6                    	15                   	1.1  	055                    	-71.062815	-30.250342      	1313 	1312         	441.843   	235.749   	-12.1   	13.9          	5.0  	57.8     	071     	35    	1.055383
7                       	868.0	13.7                    	16                   	1.1  	057                    	-71.062785	-30.250332      	1318 	1317         	442.454   	235.575   	-11.7   	14.0          	5.0  	57.8     	071     	41    	1.054517
8                       	867.5	13.7                    	16                   	1.1  	061                    	-71.062754	-30.250322      	1323 	1322         	443.036   	235.388   	-11.5   	14.1          	5.0  	57.7     	071     	47    	1.053651
