Flight Information:
Launch Date:            	     	                       	Tuesday, 02 July 2019	     	                   	          	Launch Time:    	     	             	09:29:50 	       	     	End of Ascent:	     	         	01:22:47
Station name:           	     	                       	                     	     	                   	          	Number of sonde:	     	             	19002705
Ground values:
Pressure:               	     	                       	872.9 hPa            	     	                   	          	Temperature:    	     	             	13.8 ?C  	       	     	Humidity:     	     	         	15 %
Wind Direction:         	     	                       	263 ?                	     	                   	          	Wind Speed:     	     	             	3 m/s    	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-71.063 ?            	     	                   	          	Latitude:       	     	             	-30.250 ?	       	     	Altitude:     	     	         	1283 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                     	     	                   	          	
Events:
Highest Point:          	     	                       	10.8 hPa             	     	                   	          	30465 m
Tropopauses:            	     	                       	1.: 200.4 hPa        	     	                   	          	                	     	             	
Max Winds:              	     	                       	1.: 144.2 hPa        	     	                   	          	2.: 96.0 hPa    	     	             	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                   	Ws   	Wd                 	Long.     	Lat.            	Alt  	Geopot       	MRI      	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range	D
[sec]                   	[hPa]	[?C]                   	[%]                  	[m/s]	[?]                	[?]       	[?]             	[m]  	[m]          	         	       	[?C] 	[?C]          	[m/s]	[?]      	[?]     	[m]  	[kg/m3]
0                       	872.9	13.8                   	15                   	2.7  	263                	-71.063000	-30.250400      	1283 	1283         	438.169  	236.738	-12.3	14.1          	0.0  	30.2     	180     	0    	1.059928
1                       	871.9	13.8                   	15                   	2.8  	260                	-71.062980	-30.250364      	1287 	1287         	438.585  	236.464	-12.1	14.1          	4.4  	47.8     	028     	6    	1.058655
2                       	871.0	13.9                   	15                   	2.8  	257                	-71.062959	-30.250328      	1292 	1292         	438.986  	236.189	-11.9	14.2          	4.4  	45.9     	027     	12   	1.057384
3                       	870.0	13.9                   	16                   	2.9  	254                	-71.062939	-30.250292      	1296 	1296         	439.403  	235.916	-11.7	14.2          	4.4  	45.5     	027     	19   	1.056114
4                       	869.5	13.9                   	16                   	2.9  	251                	-71.062919	-30.250256      	1301 	1300         	439.938  	235.760	-11.6	14.2          	4.4  	45.3     	027     	25   	1.055375
5                       	869.1	14.0                   	16                   	3.0  	248                	-71.062898	-30.250220      	1305 	1304         	440.478  	235.624	-11.4	14.3          	4.4  	45.0     	026     	31   	1.054725
6                       	868.6	14.0                   	16                   	3.0  	244                	-71.062878	-30.250184      	1309 	1308         	441.033  	235.488	-11.2	14.3          	4.4  	45.0     	026     	37   	1.054075
7                       	868.2	14.0                   	16                   	3.1  	241                	-71.062858	-30.250148      	1314 	1313         	441.588  	235.353	-11.0	14.3          	4.4  	44.9     	026     	44   	1.053427
8                       	867.7	14.0                   	17                   	3.1  	238                	-71.062837	-30.250112      	1318 	1317         	442.126  	235.216	-10.9	14.4          	4.4  	44.8     	026     	50   	1.052778
