Flight Information:
Launch Date:            	     	                       	Tuesday, 02 July 2019	     	                   	          	Launch Time:    	     	             	10:28:47 	       	     	End of Ascent:	     	         	01:35:03
Station name:           	     	                       	                     	     	                   	          	Number of sonde:	     	             	19002723
Ground values:
Pressure:               	     	                       	873.4 hPa            	     	                   	          	Temperature:    	     	             	12.4 ?C  	       	     	Humidity:     	     	         	21 %
Wind Direction:         	     	                       	239 ?                	     	                   	          	Wind Speed:     	     	             	4 m/s    	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-71.063 ?            	     	                   	          	Latitude:       	     	             	-30.250 ?	       	     	Altitude:     	     	         	1283 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                     	     	                   	          	
Events:
Highest Point:          	     	                       	9.4 hPa              	     	                   	          	31471 m
Tropopauses:            	     	                       	1.: 140.9 hPa        	     	                   	          	                	     	             	
Max Winds:              	     	                       	1.: 122.5 hPa        	     	                   	          	2.: 94.7 hPa    	     	             	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                   	Ws   	Wd                 	Long.     	Lat.            	Alt  	Geopot       	MRI      	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range 	D
[sec]                   	[hPa]	[?C]                   	[%]                  	[m/s]	[?]                	[?]       	[?]             	[m]  	[m]          	         	       	[?C] 	[?C]          	[m/s]	[?]      	[?]     	[m]   	[kg/m3]
0                       	873.4	12.4                   	21                   	4.0  	239                	-71.063000	-30.250400      	1283 	1283         	439.744  	238.313	-9.2 	12.8          	0.0  	30.2     	180     	0     	1.065735
1                       	872.1	12.6                   	21                   	4.1  	236                	-71.063021	-30.250339      	1288 	1287         	439.960  	237.822	-9.2 	12.9          	4.5  	34.9     	343     	8     	1.063576
2                       	870.8	12.7                   	21                   	4.1  	233                	-71.063041	-30.250278      	1292 	1292         	440.177  	237.333	-9.2 	13.1          	4.5  	33.7     	343     	17    	1.061421
3                       	869.5	12.9                   	20                   	4.2  	230                	-71.063062	-30.250217      	1297 	1296         	440.396  	236.846	-9.2 	13.2          	4.5  	33.3     	343     	25    	1.059272
4                       	868.9	13.0                   	20                   	4.2  	227                	-71.063082	-30.250156      	1301 	1301         	440.788  	236.531	-9.2 	13.4          	4.5  	33.1     	344     	33    	1.057902
5                       	868.3	13.2                   	20                   	4.3  	224                	-71.063103	-30.250095      	1306 	1305         	441.238  	236.259	-9.2 	13.6          	4.5  	33.1     	344     	42    	1.056719
6                       	867.8	13.3                   	20                   	4.3  	221                	-71.063123	-30.250034      	1310 	1309         	441.673  	235.988	-9.1 	13.7          	4.5  	33.1     	344     	50    	1.055544
7                       	867.5	13.5                   	20                   	4.4  	217                	-71.063144	-30.249973      	1315 	1314         	442.152  	235.760	-9.1 	13.9          	4.5  	33.0     	344     	58    	1.054563
8                       	867.1	13.6                   	19                   	4.4  	214                	-71.063164	-30.249912      	1319 	1318         	442.629  	235.531	-9.2 	14.0          	4.5  	32.9     	344     	67    	1.053594
