Flight Information:
Launch Date:            	     	                       	Tuesday, 02 July 2019	     	                   	          	Launch Time:    	     	             	13:21:47 	       	     	End of Ascent:	     	         	01:40:08
Station name:           	     	                       	                     	     	                   	          	Number of sonde:	     	             	19002712
Ground values:
Pressure:               	     	                       	874.4 hPa            	     	                   	          	Temperature:    	     	             	16.1 ?C  	       	     	Humidity:     	     	         	13 %
Wind Direction:         	     	                       	44 ?                 	     	                   	          	Wind Speed:     	     	             	2 m/s    	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-71.063 ?            	     	                   	          	Latitude:       	     	             	-30.250 ?	       	     	Altitude:     	     	         	1283 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                     	     	                   	          	
Events:
Highest Point:          	     	                       	8.2 hPa              	     	                   	          	32371 m
Tropopauses:            	     	                       	1.: 211.6 hPa        	     	                   	          	                	     	             	
Max Winds:              	     	                       	1.: 127.3 hPa        	     	                   	          	2.: 88.9 hPa    	     	             	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                   	Ws   	Wd                 	Long.     	Lat.            	Alt  	Geopot       	MRI      	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range	D
[sec]                   	[hPa]	[?C]                   	[%]                  	[m/s]	[?]                	[?]       	[?]             	[m]  	[m]          	         	       	[?C] 	[?C]          	[m/s]	[?]      	[?]     	[m]  	[kg/m3]
0                       	874.4	16.1                   	13                   	1.7  	044                	-71.063000	-30.250400      	1283 	1283         	436.595  	235.164	-12.2	16.4          	0.0  	30.2     	180     	0    	1.053307
1                       	873.1	15.9                   	13                   	1.7  	044                	-71.063005	-30.250420      	1289 	1289         	437.301  	234.975	-12.5	16.2          	5.7  	66.6     	191     	6    	1.052476
2                       	871.8	15.7                   	13                   	1.7  	045                	-71.063010	-30.250439      	1295 	1294         	438.022  	234.786	-12.8	16.0          	5.7  	67.8     	192     	13   	1.051647
3                       	870.5	15.5                   	13                   	1.7  	045                	-71.063015	-30.250459      	1300 	1300         	438.729  	234.597	-13.0	15.8          	5.7  	68.1     	192     	19   	1.050819
4                       	869.7	15.3                   	13                   	1.7  	045                	-71.063020	-30.250478      	1306 	1305         	439.568  	234.526	-13.3	15.6          	5.7  	68.3     	192     	25   	1.050518
5                       	869.2	15.1                   	12                   	1.6  	046                	-71.063025	-30.250498      	1312 	1311         	440.480  	234.543	-13.5	15.4          	5.7  	68.4     	192     	31   	1.050611
6                       	868.6	14.9                   	12                   	1.6  	046                	-71.063030	-30.250518      	1318 	1317         	441.407  	234.559	-13.8	15.2          	5.7  	68.5     	192     	37   	1.050704
7                       	868.1	14.8                   	12                   	1.6  	047                	-71.063035	-30.250537      	1323 	1322         	442.213  	234.471	-14.0	15.1          	5.7  	68.5     	192     	43   	1.050327
8                       	867.6	14.9                   	12                   	1.6  	047                	-71.063040	-30.250557      	1329 	1328         	442.955  	234.302	-13.8	15.1          	5.7  	68.6     	192     	50   	1.049554
