Flight Information:
Launch Date:            	      	                       	Monday, 01 July 2019	     	                   	          	Launch Time:    	       	             	21:18:11  	        	     	End of Ascent:	     	         	01:30:20
Station name:           	      	                       	                    	     	                   	          	Number of sonde:	       	             	19000909
Ground values:
Pressure:               	      	                       	875.2 hPa           	     	                   	          	Temperature:    	       	             	16.7 ?C   	        	     	Humidity:     	     	         	18 %
Wind Direction:         	      	                       	255 ?               	     	                   	          	Wind Speed:     	       	             	3 m/s     	        	     	Cloud group:  	     	         	9////
Position:
Longitude:              	      	                       	-71.063 ?           	     	                   	          	Latitude:       	       	             	-30.250 ? 	        	     	Altitude:     	     	         	1283 m
Staff:
Company:                	      	                       	
Operator:               	      	                       	                    	     	                   	          	
Events:
Highest Point:          	      	                       	956.0 hPa           	     	                   	          	32322 m
Tropopauses:            	      	                       	                    	     	                   	          	                	       	             	
Max Winds:              	      	                       	1.: 390.1 hPa       	     	                   	          	                	       	             	
Remarks:

Profile Data:
Time                    	P     	T                      	Hu                  	Ws   	Wd                 	Long.     	Lat.            	Alt    	Geopot       	MRI       	RI      	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range  	D
[sec]                   	[hPa] 	[?C]                   	[%]                 	[m/s]	[?]                	[?]       	[?]             	[m]    	[m]          	          	        	[?C] 	[?C]          	[m/s]	[?]      	[?]     	[m]    	[kg/m3]
0                       	875.2 	16.7                   	18                  	2.9  	255                	-71.063000	-30.250400      	1283   	1283         	436.543   	235.112 	-7.7 	17.1          	0.0  	30.2     	180     	0      	1.052088
1                       	874.0 	16.4                   	18                  	2.8  	254                	-71.062975	-30.250386      	1289   	1289         	437.388   	234.999 	-8.0 	16.9          	6.1  	66.5     	063     	7      	1.051601
2                       	872.9 	16.2                   	18                  	2.8  	254                	-71.062949	-30.250372      	1295   	1295         	438.218   	234.887 	-8.3 	16.6          	6.1  	65.4     	061     	14     	1.051115
3                       	871.7 	15.9                   	18                  	2.8  	253                	-71.062924	-30.250358      	1301   	1301         	439.063   	234.775 	-8.5 	16.3          	6.1  	65.1     	060     	20     	1.050631
4                       	870.9 	15.7                   	18                  	2.7  	252                	-71.062898	-30.250344      	1307   	1307         	440.003   	234.773 	-8.8 	16.1          	6.1  	64.9     	059     	27     	1.050640
5                       	870.4 	15.4                   	17                  	2.7  	251                	-71.062873	-30.250330      	1313   	1313         	441.014   	234.826 	-9.1 	15.8          	6.1  	64.8     	059     	34     	1.050899
6                       	869.8 	15.2                   	17                  	2.7  	250                	-71.062847	-30.250316      	1319   	1319         	442.010   	234.880 	-9.4 	15.6          	6.1  	64.7     	059     	40     	1.051159
7                       	869.2 	15.1                   	17                  	2.6  	249                	-71.062822	-30.250302      	1325   	1325         	442.880   	234.792 	-9.6 	15.4          	6.1  	64.7     	058     	47     	1.050789
8                       	868.6 	15.1                   	17                  	2.6  	248                	-71.062796	-30.250288      	1331   	1330         	443.660   	234.630 	-9.7 	15.4          	6.1  	64.6     	058     	54     	1.050068
9                       	867.9 	15.0                   	17                  	2.5  	248                	-71.062771	-30.250274      	1338   	1336         	444.456   	234.469 	-9.7 	15.4          	6.1  	64.6     	058     	61     	1.049348
10                      	867.3 	15.0                   	17                  	2.5  	247                	-71.062745	-30.250260      	1344   	1342         	445.237   	234.307 	-9.7 	15.4          	6.1  	64.6     	058     	67     	1.048628
11                      	866.6 	15.0                   	17                  	2.5  	245                	-71.062720	-30.250246      	1350   	1348         	446.033   	234.146 	-9.8 	15.4          	6.1  	64.6     	058     	74     	1.047908
12                      	866.0 	15.0                   	17                  	2.4  	244                	-71.062694	-30.250232      	1356   	1354         	446.821   	233.992 	-9.8 	15.3          	6.1  	64.6     	058     	81     	1.047222
13                      	865.4 	15.0                   	17                  	2.4  	243                	-71.062669	-30.250218      	1362   	1360         	447.646   	233.859 	-9.8 	15.3          	6.1  	64.6     	058     	87     	1.046627
14                      	864.9 	14.9                   	17                  	2.3  	242                	-71.062643	-30.250204      	1368   	1366         	448.454   	233.725 	-9.9 	15.3          	6.1  	64.5     	058     	94     	1.046033
15                      	864.4 	14.9                   	17                  	2.3  	241                	-71.062618	-30.250190      	1374   	1372         	449.279   	233.592 	-9.9 	15.3          	6.1  	64.5     	058     	101    	1.045439
16                      	863.8 	14.9                   	17                  	2.2  	240                	-71.062609	-30.250181      	1380   	1378         	450.103   	233.459 	-9.9 	15.3          	6.1  	65.3     	057     	107    	1.044845
17                      	863.3 	14.9                   	17                  	2.2  	238                	-71.062615	-30.250175      	1386   	1384         	450.923   	233.337 	-10.0	15.3          	6.0  	66.7     	056     	112    	1.044303
18                      	862.8 	14.9                   	17                  	2.2  	237                	-71.062622	-30.250170      	1392   	1390         	451.715   	233.219 	-10.0	15.2          	5.8  	67.9     	055     	118    	1.043775
19                      	862.3 	14.9                   	17                  	2.1  	235                	-71.062628	-30.250164      	1398   	1395         	452.508   	233.100 	-10.0	15.2          	5.8  	69.0     	054     	123    	1.043248
20                      	861.9 	14.8                   	17                  	2.1  	234                	-71.062635	-30.250159      	1403   	1401         	453.301   	232.983 	-10.1	15.2          	5.8  	69.9     	053     	128    	1.042728
21                      	861.4 	14.8                   	17                  	2.0  	232                	-71.062641	-30.250153      	1409   	1407         	454.100   	232.871 	-10.1	15.2          	5.8  	70.9     	052     	134    	1.042230
22                      	860.9 	14.8                   	17                  	2.0  	231                	-71.062648	-30.250148      	1415   	1413         	454.896   	232.757 	-10.1	15.1          	5.8  	71.7     	051     	139    	1.041718
23                      	860.4 	14.8                   	17                  	2.0  	229                	-71.062654	-30.250142      	1421   	1419         	455.692   	232.642 	-10.2	15.1          	5.8  	72.4     	050     	145    	1.041207
24                      	859.9 	14.7                   	17                  	1.9  	227                	-71.062661	-30.250137      	1427   	1424         	456.488   	232.528 	-10.2	15.1          	5.8  	73.1     	049     	150    	1.040697
25                      	859.4 	14.7                   	17                  	1.9  	226                	-71.062667	-30.250131      	1432   	1430         	457.284   	232.413 	-10.2	15.1          	5.8  	73.8     	047     	156    	1.040186
26                      	858.8 	14.7                   	17                  	1.8  	224                	-71.062674	-30.250126      	1438   	1436         	458.065   	232.283 	-10.3	15.0          	5.8  	74.4     	046     	161    	1.039606
27                      	858.2 	14.7                   	17                  	1.8  	222                	-71.062680	-30.250120      	1444   	1442         	458.841   	232.149 	-10.3	15.0          	5.8  	74.9     	045     	167    	1.039007
28                      	857.6 	14.6                   	17                  	1.8  	220                	-71.062687	-30.250115      	1450   	1447         	459.618   	232.015 	-10.4	15.0          	5.8  	75.4     	044     	172    	1.038409
29                      	857.1 	14.6                   	17                  	1.7  	218                	-71.062693	-30.250109      	1456   	1453         	460.394   	231.881 	-10.4	15.0          	5.8  	75.9     	043     	178    	1.037811
30                      	856.5 	14.6                   	17                  	1.7  	216                	-71.062700	-30.250104      	1461   	1459         	461.173   	231.749 	-10.4	14.9          	5.8  	76.3     	042     	184    	1.037223
31                      	856.0 	14.5                   	17                  	1.7  	214                	-71.062706	-30.250098      	1467   	1465         	461.956   	231.621 	-10.5	14.9          	5.8  	76.7     	040     	189    	1.036653
32                      	855.4 	14.5                   	17                  	1.7  	212                	-71.062713	-30.250093      	1473   	1471         	462.739   	231.494 	-10.5	14.9          	5.8  	77.1     	039     	195    	1.036084
33                      	854.9 	14.5                   	17                  	1.7  	210                	-71.062719	-30.250087      	1479   	1476         	463.522   	231.366 	-10.5	14.8          	5.8  	77.4     	038     	201    	1.035515
34                      	854.3 	14.5                   	16                  	1.7  	208                	-71.062726	-30.250082      	1484   	1482         	464.291   	231.240 	-10.6	14.8          	5.8  	77.7     	037     	206    	1.034965
35                      	853.7 	14.4                   	16                  	1.7  	205                	-71.062732	-30.250076      	1490   	1488         	465.070   	231.109 	-10.8	14.8          	5.8  	78.0     	036     	212    	1.034404
36                      	853.2 	14.4                   	16                  	1.7  	202                	-71.062739	-30.250071      	1496   	1494         	465.848   	230.976 	-10.9	14.7          	5.8  	78.3     	035     	218    	1.033840
37                      	852.6 	14.4                   	16                  	1.7  	199                	-71.062745	-30.250065      	1502   	1500         	466.627   	230.844 	-11.1	14.7          	5.8  	78.6     	034     	223    	1.033275
38                      	852.0 	14.3                   	16                  	1.7  	195                	-71.062752	-30.250059      	1508   	1505         	467.406   	230.712 	-11.2	14.7          	5.8  	78.8     	033     	229    	1.032712
39                      	851.4 	14.3                   	16                  	1.7  	191                	-71.062758	-30.250054      	1513   	1511         	468.173   	230.569 	-11.3	14.6          	5.8  	79.1     	031     	235    	1.032096
40                      	850.8 	14.3                   	16                  	1.7  	185                	-71.062765	-30.250048      	1519   	1517         	468.919   	230.405 	-11.5	14.6          	5.8  	79.3     	030     	241    	1.031386
41                      	850.1 	14.2                   	15                  	1.7  	179                	-71.062771	-30.250043      	1525   	1523         	469.665   	230.240 	-11.6	14.5          	5.8  	79.5     	029     	246    	1.030677
42                      	849.4 	14.2                   	15                  	1.7  	173                	-71.062778	-30.250037      	1531   	1528         	470.412   	230.076 	-11.8	14.5          	5.8  	79.7     	028     	252    	1.029969
43                      	848.7 	14.2                   	15                  	1.7  	165                	-71.062784	-30.250032      	1537   	1534         	471.158   	229.912 	-11.9	14.5          	5.8  	79.8     	027     	258    	1.029261
44                      	848.0 	14.1                   	15                  	1.7  	158                	-71.062791	-30.250026      	1542   	1540         	471.892   	229.735 	-12.1	14.4          	5.8  	80.0     	026     	264    	1.028496
45                      	847.2 	14.1                   	15                  	1.7  	150                	-71.062797	-30.250021      	1548   	1546         	472.625   	229.557 	-12.2	14.4          	5.8  	80.2     	025     	269    	1.027726
46                      	846.5 	14.1                   	15                  	1.7  	142                	-71.062804	-30.250016      	1554   	1552         	473.373   	229.380 	-12.4	14.4          	5.9  	80.3     	024     	275    	1.026956
47                      	845.8 	14.0                   	15                  	1.7  	134                	-71.062822	-30.250028      	1561   	1559         	474.312   	229.203 	-12.5	14.3          	7.1  	81.0     	023     	282    	1.026194
48                      	845.1 	14.0                   	14                  	1.7  	127                	-71.062841	-30.250040      	1568   	1566         	475.258   	229.034 	-12.7	14.3          	7.1  	81.5     	021     	289    	1.025471
49                      	844.4 	13.9                   	14                  	1.7  	121                	-71.062859	-30.250052      	1575   	1573         	476.211   	228.873 	-12.9	14.2          	7.1  	82.1     	020     	295    	1.024781
50                      	843.7 	13.9                   	14                  	1.7  	115                	-71.062877	-30.250064      	1583   	1580         	477.180   	228.712 	-13.1	14.2          	7.1  	82.6     	018     	302    	1.024092
51                      	843.0 	13.9                   	14                  	1.7  	110                	-71.062895	-30.250076      	1590   	1587         	478.133   	228.550 	-13.2	14.1          	7.1  	83.1     	016     	309    	1.023403
52                      	842.3 	13.8                   	14                  	1.7  	106                	-71.062914	-30.250088      	1597   	1594         	479.087   	228.389 	-13.4	14.1          	7.1  	83.6     	014     	316    	1.022715
53                      	841.6 	13.8                   	13                  	1.7  	102                	-71.062932	-30.250100      	1604   	1601         	480.054   	228.226 	-13.6	14.1          	7.1  	84.0     	011     	323    	1.022016
54                      	840.9 	13.7                   	13                  	1.7  	099                	-71.062950	-30.250112      	1611   	1609         	481.005   	228.062 	-13.8	14.0          	7.1  	84.4     	009     	330    	1.021317
55                      	840.2 	13.7                   	13                  	1.7  	096                	-71.062969	-30.250124      	1618   	1616         	481.956   	227.899 	-14.0	14.0          	7.1  	84.8     	006     	337    	1.020618
56                      	839.6 	13.7                   	13                  	1.7  	094                	-71.062987	-30.250136      	1625   	1623         	482.908   	227.735 	-14.2	13.9          	7.1  	85.2     	002     	344    	1.019920
57                      	838.8 	13.6                   	13                  	1.7  	092                	-71.063005	-30.250148      	1633   	1630         	483.871   	227.569 	-14.4	13.9          	7.1  	85.5     	359     	351    	1.019206
58                      	838.1 	13.6                   	13                  	1.7  	090                	-71.063023	-30.250160      	1640   	1637         	484.814   	227.397 	-14.6	13.8          	7.1  	85.8     	355     	358    	1.018471
59                      	837.4 	13.5                   	12                  	1.7  	088                	-71.063042	-30.250172      	1647   	1644         	485.758   	227.226 	-14.8	13.8          	7.1  	86.0     	351     	365    	1.017737
60                      	836.7 	13.5                   	12                  	1.7  	086                	-71.063060	-30.250184      	1654   	1651         	486.701   	227.054 	-15.0	13.8          	7.1  	86.2     	346     	372    	1.017003
61                      	836.0 	13.5                   	12                  	1.7  	084                	-71.063078	-30.250196      	1661   	1658         	487.675   	226.898 	-15.1	13.7          	7.1  	86.4     	341     	379    	1.016320
62                      	835.3 	13.4                   	12                  	1.8  	082                	-71.063097	-30.250208      	1668   	1665         	488.639   	226.747 	-15.3	13.6          	7.1  	86.6     	336     	386    	1.015656
