Flight Information:
Launch Date:            	     	                       	Tuesday, 02 July 2019	     	                   	          	Launch Time:    	       	             	14:51:23  	          	        	End of Ascent:	     	         	01:25:21
Station name:           	     	                       	                     	     	                   	          	Number of sonde:	       	             	19002724
Ground values:
Pressure:               	     	                       	875.5 hPa            	     	                   	          	Temperature:    	       	             	17.7 ?C   	          	        	Humidity:     	     	         	13 %
Wind Direction:         	     	                       	97 ?                 	     	                   	          	Wind Speed:     	       	             	1 m/s     	          	        	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-71.063 ?            	     	                   	          	Latitude:       	       	             	-30.250 ? 	          	        	Altitude:     	     	         	1283 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                     	     	                   	          	
Events:
Highest Point:          	     	                       	9.1 hPa              	     	                   	          	31690 m
Tropopauses:            	     	                       	1.: 201.0 hPa        	     	                   	          	                	       	             	
Max Winds:              	     	                       	1.: 114.6 hPa        	     	                   	          	                	       	             	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                   	Ws   	Wd                 	Long.     	Lat.            	Alt    	Geopot       	MRI       	RI        	Dewp.   	Virt. Temp    	Rs   	Elevation	Azimuth 	Range  	D
[sec]                   	[hPa]	[?C]                   	[%]                  	[m/s]	[?]                	[?]       	[?]             	[m]    	[m]          	          	          	[?C]    	[?C]          	[m/s]	[?]      	[?]     	[m]    	[kg/m3]
0                       	875.5	17.7                   	13                   	1.1  	097                	-71.063000	-30.250400      	1283   	1283         	435.591   	234.160   	-11.0   	18.0          	0.0  	30.2     	180     	0      	1.048830
1                       	874.3	17.5                   	13                   	1.2  	100                	-71.063020	-30.250382      	1289   	1289         	436.388   	233.968   	-11.1   	17.9          	6.3  	68.5     	310     	7      	1.047968
2                       	873.1	17.4                   	13                   	1.2  	103                	-71.063040	-30.250364      	1296   	1295         	437.185   	233.775   	-11.3   	17.7          	6.3  	67.4     	313     	14     	1.047108
3                       	871.9	17.2                   	13                   	1.3  	106                	-71.063061	-30.250346      	1302   	1301         	437.982   	233.583   	-11.4   	17.5          	6.3  	67.0     	314     	21     	1.046248
4                       	871.1	17.0                   	13                   	1.4  	108                	-71.063081	-30.250328      	1308   	1307         	438.877   	233.505   	-11.6   	17.4          	6.3  	66.7     	314     	28     	1.045899
5                       	870.5	16.9                   	13                   	1.5  	110                	-71.063101	-30.250311      	1314   	1314         	439.842   	233.482   	-11.8   	17.2          	6.3  	66.6     	315     	34     	1.045797
6                       	869.9	16.7                   	13                   	1.5  	112                	-71.063121	-30.250293      	1321   	1320         	440.808   	233.458   	-11.9   	17.0          	6.3  	66.6     	315     	41     	1.045695
7                       	869.3	16.6                   	13                   	1.6  	114                	-71.063141	-30.250275      	1327   	1326         	441.698   	233.359   	-12.0   	16.9          	6.3  	66.5     	315     	48     	1.045251
8                       	868.7	16.6                   	13                   	1.7  	116                	-71.063161	-30.250257      	1333   	1332         	442.544   	233.216   	-12.0   	16.9          	6.3  	66.5     	315     	55     	1.044610
9                       	868.1	16.6                   	13                   	1.8  	118                	-71.063182	-30.250239      	1340   	1338         	443.390   	233.073   	-12.0   	16.9          	6.3  	66.5     	315     	62     	1.043968
10                      	867.5	16.6                   	13                   	1.8  	119                	-71.063202	-30.250221      	1346   	1344         	444.237   	232.931   	-12.0   	16.9          	6.3  	66.4     	315     	69     	1.043328
11                      	866.9	16.6                   	13                   	1.9  	120                	-71.063222	-30.250203      	1352   	1350         	445.068   	232.788   	-12.1   	16.9          	6.3  	66.4     	315     	76     	1.042686
12                      	866.3	16.5                   	13                   	2.0  	121                	-71.063242	-30.250185      	1358   	1356         	445.914   	232.646   	-12.1   	16.8          	6.3  	66.4     	315     	83     	1.042044
13                      	865.7	16.5                   	13                   	2.1  	122                	-71.063262	-30.250168      	1365   	1363         	446.761   	232.503   	-12.1   	16.8          	6.3  	66.4     	315     	89     	1.041402
14                      	865.1	16.5                   	13                   	2.1  	123                	-71.063282	-30.250150      	1371   	1369         	447.607   	232.360   	-12.1   	16.8          	6.3  	66.4     	315     	96     	1.040760
15                      	864.6	16.5                   	13                   	2.2  	124                	-71.063304	-30.250130      	1377   	1375         	448.438   	232.218   	-12.1   	16.8          	6.3  	66.2     	315     	103    	1.040119
16                      	863.9	16.4                   	13                   	2.3  	125                	-71.063329	-30.250107      	1384   	1381         	449.272   	232.062   	-12.1   	16.8          	6.3  	65.9     	315     	110    	1.039419
17                      	863.3	16.4                   	13                   	2.4  	126                	-71.063354	-30.250083      	1390   	1388         	450.104   	231.906   	-12.1   	16.7          	6.3  	65.5     	316     	118    	1.038715
18                      	862.6	16.4                   	13                   	2.4  	127                	-71.063378	-30.250060      	1396   	1394         	450.937   	231.749   	-12.1   	16.7          	6.3  	65.3     	316     	125    	1.038011
19                      	862.0	16.4                   	13                   	2.5  	128                	-71.063403	-30.250036      	1402   	1400         	451.754   	231.593   	-12.1   	16.7          	6.3  	65.0     	316     	132    	1.037308
20                      	861.4	16.4                   	13                   	2.6  	128                	-71.063428	-30.250013      	1409   	1406         	452.602   	231.452   	-12.2   	16.7          	6.3  	64.8     	316     	139    	1.036672
21                      	860.8	16.3                   	13                   	2.7  	129                	-71.063453	-30.249989      	1415   	1413         	453.484   	231.344   	-12.2   	16.6          	6.3  	64.6     	316     	146    	1.036183
22                      	860.2	16.3                   	13                   	2.7  	129                	-71.063478	-30.249966      	1421   	1419         	454.350   	231.237   	-12.2   	16.6          	6.3  	64.4     	316     	153    	1.035694
23                      	859.7	16.2                   	13                   	2.8  	130                	-71.063503	-30.249942      	1427   	1425         	455.232   	231.130   	-12.2   	16.5          	6.3  	64.2     	316     	161    	1.035205
24                      	859.1	16.2                   	13                   	2.9  	131                	-71.063528	-30.249919      	1434   	1431         	456.113   	231.023   	-12.2   	16.5          	6.3  	64.0     	316     	168    	1.034717
25                      	858.5	16.1                   	13                   	3.0  	131                	-71.063553	-30.249895      	1440   	1438         	456.986   	230.906   	-12.2   	16.4          	6.3  	63.9     	316     	175    	1.034186
26                      	858.0	16.1                   	13                   	3.0  	132                	-71.063578	-30.249872      	1446   	1444         	457.842   	230.789   	-12.2   	16.4          	6.3  	63.8     	316     	182    	1.033653
27                      	857.4	16.0                   	13                   	3.1  	132                	-71.063603	-30.249848      	1453   	1450         	458.714   	230.672   	-12.2   	16.3          	6.3  	63.6     	316     	189    	1.033120
28                      	856.8	16.0                   	13                   	3.2  	132                	-71.063628	-30.249825      	1459   	1457         	459.586   	230.555   	-12.2   	16.3          	6.3  	63.5     	316     	197    	1.032588
