Flight Information:
Launch Date:            	     	                       	Tuesday, 02 July 2019	     	                       	          	Launch Time:    	     	             	17:23:00 	       	     	End of Ascent:	     	         	01:51:24
Station name:           	     	                       	                     	     	                       	          	Number of sonde:	     	             	19002030
Ground values:
Pressure:               	     	                       	874.7 hPa            	     	                       	          	Temperature:    	     	             	20.2 ?C  	       	     	Humidity:     	     	         	11 %
Wind Direction:         	     	                       	233 ?                	     	                       	          	Wind Speed:     	     	             	2 m/s    	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-71.063 ?            	     	                       	          	Latitude:       	     	             	-30.250 ?	       	     	Altitude:     	     	         	1283 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                     	     	                       	          	
Events:
Highest Point:          	     	                       	9.7 hPa              	     	                       	          	31175 m
Tropopauses:            	     	                       	1.: 202.3 hPa        	     	                       	          	2.: 77.9 hPa    	     	             	
Max Winds:              	     	                       	1.: 111.9 hPa        	     	                       	          	2.: 10.8 hPa    	     	             	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                   	Ws   	Wd                     	Long.     	Lat.            	Alt  	Geopot       	MRI      	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range 	D
[sec]                   	[hPa]	[?C]                   	[%]                  	[m/s]	[?]                    	[?]       	[?]             	[m]  	[m]          	         	       	[?C] 	[?C]          	[m/s]	[?]      	[?]     	[m]   	[kg/m3]
0                       	874.7	20.2                   	11                   	2.0  	233                    	-71.063000	-30.250400      	1283 	1283         	433.293  	231.862	-11.1	20.5          	0.0  	30.2     	180     	0     	1.038942
1                       	873.5	19.9                   	11                   	2.1  	233                    	-71.062951	-30.250377      	1290 	1289         	434.218  	231.751	-11.3	20.3          	6.6  	52.6     	065     	9     	1.038435
2                       	872.3	19.7                   	11                   	2.1  	232                    	-71.062902	-30.250354      	1296 	1296         	435.128  	231.641	-11.4	20.0          	6.6  	51.6     	063     	17    	1.037929
3                       	871.1	19.4                   	11                   	2.2  	232                    	-71.062853	-30.250331      	1303 	1302         	436.055  	231.531	-11.6	19.7          	6.6  	51.4     	063     	25    	1.037424
4                       	870.3	19.2                   	11                   	2.3  	232                    	-71.062804	-30.250309      	1309 	1309         	437.086  	231.526	-11.7	19.5          	6.6  	51.3     	062     	34    	1.037392
5                       	869.7	18.9                   	11                   	2.3  	232                    	-71.062756	-30.250286      	1316 	1315         	438.152  	231.555	-11.9	19.2          	6.6  	51.2     	062     	42    	1.037512
6                       	869.0	18.7                   	11                   	2.4  	231                    	-71.062707	-30.250263      	1322 	1322         	439.201  	231.585	-12.1	19.0          	6.6  	51.1     	062     	51    	1.037634
7                       	868.4	18.6                   	11                   	2.5  	231                    	-71.062658	-30.250240      	1329 	1328         	440.163  	231.510	-12.1	18.9          	6.6  	51.1     	062     	59    	1.037288
8                       	867.8	18.5                   	11                   	2.5  	231                    	-71.062609	-30.250217      	1336 	1335         	441.101  	231.412	-12.1	18.8          	6.6  	51.1     	062     	68    	1.036833
9                       	867.3	18.4                   	11                   	2.6  	231                    	-71.062560	-30.250194      	1342 	1341         	442.040  	231.314	-12.0	18.7          	6.6  	51.1     	062     	76    	1.036379
10                      	866.7	18.4                   	11                   	2.7  	230                    	-71.062511	-30.250172      	1349 	1347         	442.962  	231.216	-12.0	18.7          	6.6  	51.0     	062     	85    	1.035924
11                      	866.2	18.3                   	12                   	2.7  	230                    	-71.062462	-30.250149      	1355 	1354         	443.901  	231.119	-12.0	18.6          	6.6  	51.0     	062     	93    	1.035471
12                      	865.5	18.3                   	12                   	2.8  	230                    	-71.062413	-30.250126      	1362 	1360         	444.814  	230.996	-11.9	18.6          	6.6  	51.0     	062     	102   	1.034905
13                      	864.9	18.2                   	12                   	2.9  	230                    	-71.062364	-30.250103      	1368 	1367         	445.710  	230.871	-11.9	18.5          	6.6  	51.0     	062     	110   	1.034330
14                      	864.2	18.1                   	12                   	2.9  	230                    	-71.062322	-30.250081      	1375 	1373         	446.621  	230.746	-11.9	18.4          	6.6  	51.2     	062     	118   	1.033754
15                      	863.5	18.1                   	12                   	3.0  	230                    	-71.062304	-30.250061      	1382 	1380         	447.532  	230.621	-11.9	18.4          	6.6  	52.2     	061     	125   	1.033179
16                      	862.9	18.0                   	12                   	3.1  	229                    	-71.062285	-30.250041      	1388 	1386         	448.449  	230.501	-11.8	18.3          	6.6  	53.0     	060     	132   	1.032627
17                      	862.3	18.0                   	12                   	3.1  	229                    	-71.062267	-30.250021      	1395 	1393         	449.356  	230.388	-11.8	18.3          	6.6  	53.8     	059     	139   	1.032103
18                      	861.7	17.9                   	12                   	3.2  	229                    	-71.062248	-30.250001      	1401 	1399         	450.279  	230.275	-11.8	18.2          	6.6  	54.5     	059     	146   	1.031580
19                      	861.1	17.8                   	12                   	3.3  	229                    	-71.062230	-30.249981      	1408 	1406         	451.191  	230.166	-11.8	18.1          	6.6  	55.1     	058     	152   	1.031076
20                      	860.4	17.8                   	12                   	3.3  	229                    	-71.062211	-30.249961      	1414 	1412         	452.124  	230.063	-11.8	18.1          	6.6  	55.6     	058     	159   	1.030599
