Flight Information:
Launch Date:            	     	                       	Tuesday, 02 July 2019	     	                   	          	Launch Time:    	       	             	19:29:31  	       	     	End of Ascent:	     	         	01:56:59
Station name:           	     	                       	                     	     	                   	          	Number of sonde:	       	             	19002672
Ground values:
Pressure:               	     	                       	874.1 hPa            	     	                   	          	Temperature:    	       	             	18.9 ?C   	       	     	Humidity:     	     	         	12 %
Wind Direction:         	     	                       	237 ?                	     	                   	          	Wind Speed:     	       	             	4 m/s     	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-71.063 ?            	     	                   	          	Latitude:       	       	             	-30.250 ? 	       	     	Altitude:     	     	         	1283 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                     	     	                   	          	
Events:
Highest Point:          	     	                       	7.0 hPa              	     	                   	          	33364 m
Tropopauses:            	     	                       	1.: 171.9 hPa        	     	                   	          	                	       	             	
Max Winds:              	     	                       	1.: 164.7 hPa        	     	                   	          	2.: 95.5 hPa    	       	             	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                   	Ws   	Wd                 	Long.     	Lat.            	Alt    	Geopot       	MRI       	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range  	D
[sec]                   	[hPa]	[?C]                   	[%]                  	[m/s]	[?]                	[?]       	[?]             	[m]    	[m]          	          	       	[?C] 	[?C]          	[m/s]	[?]      	[?]     	[m]    	[kg/m3]
0                       	874.1	18.9                   	12                   	3.8  	237                	-71.063000	-30.250400      	1283   	1283         	434.211   	232.780	-11.0	19.2          	0.0  	30.2     	180     	0      	1.042850
1                       	872.9	18.7                   	12                   	3.8  	236                	-71.062959	-30.250359      	1289   	1289         	435.029   	232.672	-11.2	19.0          	5.9  	46.7     	043     	8      	1.042363
2                       	871.8	18.4                   	12                   	3.8  	235                	-71.062918	-30.250319      	1295   	1295         	435.832   	232.564	-11.5	18.7          	5.9  	45.4     	042     	17     	1.041876
3                       	870.6	18.2                   	12                   	3.9  	233                	-71.062877	-30.250278      	1301   	1300         	436.650   	232.456	-11.7	18.5          	5.9  	45.1     	042     	25     	1.041391
4                       	870.0	17.9                   	12                   	3.9  	232                	-71.062837	-30.250237      	1307   	1306         	437.590   	232.470	-11.9	18.2          	5.9  	45.0     	042     	34     	1.041452
5                       	869.3	17.7                   	12                   	3.9  	231                	-71.062796	-30.250196      	1312   	1312         	438.529   	232.498	-12.1	18.0          	5.9  	44.8     	041     	42     	1.041577
6                       	868.7	17.4                   	12                   	3.9  	230                	-71.062755	-30.250156      	1318   	1317         	439.483   	232.526	-12.3	17.7          	5.9  	44.8     	041     	50     	1.041703
7                       	868.1	17.2                   	12                   	3.9  	229                	-71.062714	-30.250115      	1324   	1323         	440.405   	232.521	-12.5	17.5          	5.9  	44.7     	041     	59     	1.041679
8                       	867.5	17.2                   	12                   	3.9  	228                	-71.062673	-30.250074      	1330   	1329         	441.206   	232.412	-12.4	17.5          	5.9  	44.6     	041     	67     	1.041181
9                       	866.9	17.1                   	12                   	4.0  	226                	-71.062632	-30.250033      	1336   	1335         	442.024   	232.303	-12.4	17.4          	5.9  	44.6     	041     	75     	1.040683
10                      	866.3	17.0                   	12                   	4.0  	225                	-71.062591	-30.249993      	1342   	1340         	442.842   	232.195	-12.4	17.3          	5.9  	44.6     	041     	84     	1.040186
11                      	865.8	17.0                   	12                   	4.0  	224                	-71.062550	-30.249952      	1348   	1346         	443.659   	232.086	-12.4	17.3          	5.9  	44.6     	041     	92     	1.039688
12                      	865.2	16.9                   	12                   	4.0  	223                	-71.062510	-30.249911      	1353   	1352         	444.459   	231.975	-12.4	17.2          	5.9  	44.6     	041     	101    	1.039180
13                      	864.6	16.9                   	12                   	4.0  	222                	-71.062469	-30.249870      	1359   	1358         	445.274   	231.864	-12.4	17.2          	5.9  	44.6     	041     	109    	1.038672
14                      	864.0	16.8                   	12                   	4.0  	221                	-71.062428	-30.249830      	1365   	1363         	446.089   	231.753	-12.4	17.1          	5.9  	44.6     	041     	117    	1.038164
15                      	863.4	16.8                   	12                   	4.1  	220                	-71.062392	-30.249791      	1371   	1369         	446.889   	231.642	-12.4	17.1          	5.9  	44.7     	041     	125    	1.037656
16                      	862.9	16.7                   	12                   	4.1  	218                	-71.062376	-30.249759      	1377   	1374         	447.676   	231.550	-12.4	17.0          	5.6  	45.3     	040     	132    	1.037234
17                      	862.5	16.7                   	12                   	4.1  	217                	-71.062359	-30.249728      	1382   	1380         	448.417   	231.474	-12.4	17.0          	5.2  	45.7     	040     	138    	1.036882
18                      	862.0	16.6                   	12                   	4.1  	216                	-71.062343	-30.249696      	1387   	1385         	449.173   	231.398	-12.4	16.9          	5.2  	46.2     	039     	145    	1.036530
19                      	861.5	16.6                   	12                   	4.1  	215                	-71.062327	-30.249665      	1392   	1390         	449.913   	231.322	-12.4	16.9          	5.2  	46.5     	039     	151    	1.036179
20                      	861.1	16.5                   	12                   	4.1  	214                	-71.062311	-30.249634      	1398   	1395         	450.652   	231.245	-12.4	16.8          	5.2  	46.8     	038     	157    	1.035822
21                      	860.6	16.5                   	12                   	4.2  	213                	-71.062295	-30.249602      	1403   	1401         	451.371   	231.131	-12.4	16.8          	5.2  	47.2     	038     	164    	1.035309
22                      	860.1	16.5                   	13                   	4.2  	212                	-71.062279	-30.249571      	1408   	1406         	452.070   	231.014	-12.4	16.7          	5.2  	47.4     	037     	170    	1.034778
23                      	859.6	16.4                   	13                   	4.2  	211                	-71.062263	-30.249539      	1413   	1411         	452.768   	230.896	-12.4	16.7          	5.2  	47.7     	037     	176    	1.034247
24                      	859.0	16.4                   	13                   	4.2  	210                	-71.062247	-30.249508      	1419   	1416         	453.483   	230.779	-12.4	16.7          	5.2  	48.0     	036     	183    	1.033717
