Flight Information:
Launch Date:            	     	                       	Tuesday, 02 July 2019	     	                        	          	Launch Time:    	     	             	19:58:50  	          	        	End of Ascent:	     	         	02:09:08
Station name:           	     	                       	                     	     	                        	          	Number of sonde:	     	             	19002713
Ground values:
Pressure:               	     	                       	874.0 hPa            	     	                        	          	Temperature:    	     	             	18.5 ?C   	          	        	Humidity:     	     	         	12 %
Wind Direction:         	     	                       	244 ?                	     	                        	          	Wind Speed:     	     	             	3 m/s     	          	        	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-71.063 ?            	     	                        	          	Latitude:       	     	             	-30.250 ? 	          	        	Altitude:     	     	         	1283 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                     	     	                        	          	
Events:
Highest Point:          	     	                       	7.8 hPa              	     	                        	          	32704 m
Tropopauses:            	     	                       	1.: 166.2 hPa        	     	                        	          	2.: 99.6 hPa    	     	             	
Max Winds:              	     	                       	1.: 160.3 hPa        	     	                        	          	2.: 86.8 hPa    	     	             	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                   	Ws   	Wd                      	Long.     	Lat.            	Alt  	Geopot       	MRI       	RI        	Dewp.   	Virt. Temp    	Rs   	Elevation	Azimuth 	Range 	D
[sec]                   	[hPa]	[?C]                   	[%]                  	[m/s]	[?]                     	[?]       	[?]             	[m]  	[m]          	          	          	[?C]    	[?C]          	[m/s]	[?]      	[?]     	[m]   	[kg/m3]
0                       	874.0	18.5                   	12                   	3.1  	244                     	-71.063000	-30.250400      	1283 	1283         	434.504   	233.073   	-11.3   	18.8          	0.0  	1.2      	125     	9     	1.044161
1                       	872.6	18.2                   	12                   	3.1  	242                     	-71.062971	-30.250356      	1287 	1287         	434.964   	232.921   	-11.2   	18.6          	3.9  	21.2     	093     	11    	1.043411
2                       	871.3	18.0                   	13                   	3.2  	240                     	-71.062941	-30.250312      	1291 	1291         	435.463   	232.807   	-11.1   	18.3          	3.9  	29.6     	072     	16    	1.042834
3                       	870.8	17.7                   	13                   	3.2  	238                     	-71.062912	-30.250269      	1295 	1294         	436.163   	232.896   	-11.0   	18.1          	3.9  	32.6     	061     	22    	1.043165
4                       	870.3	17.5                   	13                   	3.3  	236                     	-71.062883	-30.250225      	1299 	1298         	436.864   	232.984   	-10.9   	17.8          	3.9  	33.8     	054     	28    	1.043496
5                       	869.8	17.2                   	14                   	3.3  	234                     	-71.062853	-30.250181      	1303 	1302         	437.565   	233.073   	-10.8   	17.5          	3.9  	34.3     	049     	35    	1.043828
6                       	869.3	16.9                   	14                   	3.4  	233                     	-71.062824	-30.250137      	1306 	1306         	438.267   	233.162   	-10.8   	17.3          	3.9  	34.6     	046     	42    	1.044161
7                       	869.0	16.8                   	14                   	3.4  	231                     	-71.062794	-30.250094      	1310 	1309         	438.921   	233.204   	-10.6   	17.1          	3.9  	34.7     	044     	48    	1.044293
8                       	868.7	16.8                   	14                   	3.5  	229                     	-71.062765	-30.250050      	1314 	1313         	439.470   	233.140   	-10.6   	17.1          	3.9  	34.8     	042     	55    	1.044002
