Flight Information:
Launch Date:            	     	                       	Monday, 01 July 2019	     	                   	          	Launch Time:    	       	             	20:18:46  	       	     	End of Ascent:	     	         	01:24:59
Station name:           	     	                       	                    	     	                   	          	Number of sonde:	       	             	19002431
Ground values:
Pressure:               	     	                       	874.0 hPa           	     	                   	          	Temperature:    	       	             	16.2 ?C   	       	     	Humidity:     	     	         	20 %
Wind Direction:         	     	                       	252 ?               	     	                   	          	Wind Speed:     	       	             	2 m/s     	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-71.063 ?           	     	                   	          	Latitude:       	       	             	-30.250 ? 	       	     	Altitude:     	     	         	1283 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                    	     	                   	          	
Events:
Highest Point:          	     	                       	15.9 hPa            	     	                   	          	30297 m
Tropopauses:            	     	                       	1.: 182.3 hPa       	     	                   	          	                	       	             	
Max Winds:              	     	                       	1.: 188.9 hPa       	     	                   	          	                	       	             	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                  	Ws   	Wd                 	Long.     	Lat.            	Alt    	Geopot       	MRI       	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range  	D
[sec]                   	[hPa]	[?C]                   	[%]                 	[m/s]	[?]                	[?]       	[?]             	[m]    	[m]          	          	       	[?C] 	[?C]          	[m/s]	[?]      	[?]     	[m]    	[kg/m3]
0                       	874.0	16.2                   	20                  	1.7  	252                	-71.245000	-29.915900      	1283   	1283         	436.718   	235.287	-6.7 	16.7          	0.0  	-0.2     	335     	41029  	1.052461
1                       	872.8	16.0                   	20                  	1.7  	249                	-71.233101	-29.937722      	1288   	1288         	437.321   	235.121	-7.0 	16.5          	4.9  	-0.2     	335     	38351  	1.051736
2                       	871.7	15.8                   	20                  	1.8  	246                	-71.221203	-29.959544      	1293   	1293         	437.924   	234.955	-7.2 	16.3          	4.9  	-0.1     	335     	35672  	1.051012
3                       	870.7	15.6                   	20                  	1.8  	242                	-71.209304	-29.981366      	1298   	1297         	438.583   	234.829	-7.4 	16.1          	4.9  	-0.1     	335     	32994  	1.050468
4                       	870.2	15.5                   	19                  	1.8  	239                	-71.197406	-30.003188      	1303   	1302         	439.365   	234.841	-7.7 	15.9          	4.9  	-0.1     	335     	30316  	1.050544
5                       	869.7	15.3                   	19                  	1.9  	235                	-71.185507	-30.025011      	1308   	1307         	440.146   	234.853	-7.9 	15.7          	4.9  	-0.1     	335     	27638  	1.050620
6                       	869.2	15.1                   	19                  	1.9  	231                	-71.173608	-30.046833      	1313   	1312         	440.901   	234.838	-8.1 	15.5          	4.9  	0.0      	335     	24960  	1.050575
7                       	868.7	15.1                   	19                  	1.9  	228                	-71.161710	-30.068655      	1317   	1317         	441.521   	234.689	-8.2 	15.6          	4.9  	0.0      	335     	22282  	1.049931
8                       	868.2	15.2                   	19                  	1.9  	224                	-71.149811	-30.090477      	1322   	1321         	442.147   	234.546	-8.2 	15.6          	4.9  	0.0      	335     	19604  	1.049288
9                       	867.7	15.2                   	19                  	2.0  	220                	-71.137913	-30.112299      	1327   	1326         	442.791   	234.405	-8.1 	15.6          	4.9  	0.1      	335     	16926  	1.048645
10                      	867.2	15.2                   	19                  	2.0  	216                	-71.126014	-30.134121      	1332   	1331         	443.419   	234.263	-8.1 	15.6          	4.9  	0.1      	335     	14249  	1.048002
11                      	866.7	15.2                   	19                  	2.0  	212                	-71.114115	-30.155943      	1337   	1336         	444.046   	234.121	-8.1 	15.6          	4.9  	0.2      	335     	11571  	1.047354
12                      	866.2	15.2                   	19                  	2.1  	208                	-71.102217	-30.177765      	1342   	1340         	444.670   	233.976	-8.0 	15.6          	4.9  	0.3      	335     	8894   	1.046696
13                      	865.7	15.2                   	19                  	2.1  	204                	-71.090318	-30.199588      	1347   	1345         	445.295   	233.832	-8.0 	15.6          	4.9  	0.6      	335     	6217   	1.046039
14                      	865.2	15.2                   	19                  	2.1  	201                	-71.078420	-30.221410      	1352   	1350         	445.936   	233.687	-7.9 	15.7          	4.9  	1.1      	335     	3540   	1.045381
15                      	864.7	15.2                   	19                  	2.2  	197                	-71.066521	-30.243232      	1357   	1355         	446.560   	233.543	-7.9 	15.7          	4.9  	4.9      	337     	866    	1.044725
16                      	864.2	15.3                   	19                  	2.2  	194                	-71.062840	-30.250000      	1362   	1360         	447.210   	233.391	-7.9 	15.7          	5.1  	59.1     	022     	92     	1.044036
