Flight Information:
Launch Date:            	                       	Monday, 01 July 2019	      	                   	Launch Time:    	          	21:17:39     	       	End of Ascent:	        	           	01:39:34
Station name:           	                       	                    	      	                   	Number of sonde:	          	19002697
Ground values:
Pressure:               	                       	874.9 hPa           	      	                   	Temperature:    	          	15.5 ?C      	       	Humidity:     	        	           	20 %
Wind Direction:         	                       	239 ?               	      	                   	Wind Speed:     	          	1 m/s        	       	Cloud group:  	        	           	9////
Position:
Longitude:              	                       	-71.063 ?           	      	                   	Latitude:       	          	-30.250 ?    	       	Altitude:     	        	           	1283 m
Staff:
Company:                	                       	
Operator:               	                       	                    	      	                   	
Events:
Highest Point:          	                       	10.3 hPa            	      	                   	34065 m
Tropopauses:            	                       	1.: 168.8 hPa       	      	                   	                	          	
Max Winds:              	                       	1.: 193.5 hPa       	      	                   	                	          	
Remarks:

Profile Data:
Time                    	P                      	T                   	Hu    	Ws                 	Wd              	Long.     	Lat.         	Alt    	Geopot        	Dewp.   	Virt. Temp 	Rs      	D
[sec]                   	[hPa]                  	[?C]                	[%]   	[m/s]              	[?]             	[?]       	[?]          	[m]    	[m]           	[?C]    	[?C]       	[m/s]   	[kg/m3]
0                       	874.9                  	15.5                	20    	0.7                	239             	-71.063000	-30.250400   	1283   	1283          	-7.3    	15.9       	0.0     	1.056100
1                       	873.6                  	15.5                	20    	0.7                	234             	-71.063008	-30.250397   	1289   	1288          	-7.3    	15.9       	5.5     	1.054673
2                       	872.4                  	15.5                	20    	0.8                	228             	-71.063016	-30.250395   	1294   	1294          	-7.3    	15.9       	5.5     	1.053249
3                       	871.1                  	15.4                	20    	0.8                	221             	-71.063024	-30.250392   	1299   	1299          	-7.3    	15.9       	5.5     	1.051826
4                       	870.4                  	15.4                	20    	0.9                	214             	-71.063032	-30.250389   	1305   	1304          	-7.3    	15.8       	5.5     	1.051024
5                       	869.9                  	15.4                	20    	0.9                	207             	-71.063040	-30.250387   	1310   	1310          	-7.4    	15.8       	5.5     	1.050520
6                       	869.4                  	15.4                	20    	0.9                	200             	-71.063048	-30.250384   	1316   	1315          	-7.4    	15.8       	5.5     	1.050027
7                       	868.9                  	15.3                	20    	1.0                	194             	-71.063056	-30.250381   	1321   	1321          	-7.4    	15.8       	5.5     	1.049577
8                       	868.4                  	15.3                	20    	1.0                	187             	-71.063064	-30.250379   	1327   	1326          	-7.4    	15.7       	5.5     	1.049127
9                       	868.0                  	15.2                	20    	1.1                	181             	-71.063072	-30.250376   	1332   	1331          	-7.5    	15.7       	5.5     	1.048678
10                      	867.5                  	15.2                	20    	1.1                	176             	-71.063081	-30.250373   	1338   	1337          	-7.5    	15.6       	5.5     	1.048228
11                      	867.0                  	15.2                	20    	1.1                	171             	-71.063089	-30.250371   	1343   	1342          	-7.5    	15.6       	5.5     	1.047803
12                      	866.6                  	15.1                	20    	1.2                	167             	-71.063097	-30.250368   	1349   	1347          	-7.6    	15.6       	5.5     	1.047414
13                      	866.1                  	15.1                	20    	1.2                	163             	-71.063105	-30.250365   	1354   	1353          	-7.6    	15.5       	5.5     	1.047026
14                      	865.7                  	15.0                	20    	1.3                	159             	-71.063113	-30.250363   	1360   	1358          	-7.6    	15.5       	5.5     	1.046637
15                      	865.3                  	15.0                	20    	1.3                	156             	-71.063121	-30.250360   	1365   	1363          	-7.7    	15.4       	5.5     	1.046249
16                      	864.8                  	15.0                	20    	1.4                	154             	-71.063135	-30.250349   	1371   	1369          	-7.7    	15.4       	5.5     	1.045765
17                      	864.2                  	14.9                	20    	1.4                	151             	-71.063148	-30.250338   	1376   	1374          	-7.7    	15.4       	5.5     	1.045274
