Flight Information:
Launch Date:            	     	                       	Tuesday, 02 July 2019	     	                       	          	Launch Time:    	       	             	00:20:03  	       	     	End of Ascent:	     	         	01:22:50
Station name:           	     	                       	                     	     	                       	          	Number of sonde:	       	             	19002718
Ground values:
Pressure:               	     	                       	874.7 hPa            	     	                       	          	Temperature:    	       	             	14.2 ?C   	       	     	Humidity:     	     	         	20 %
Wind Direction:         	     	                       	203 ?                	     	                       	          	Wind Speed:     	       	             	1 m/s     	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-71.063 ?            	     	                       	          	Latitude:       	       	             	-30.250 ? 	       	     	Altitude:     	     	         	1283 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                     	     	                       	          	
Events:
Highest Point:          	     	                       	9.1 hPa              	     	                       	          	31763 m
Tropopauses:            	     	                       	1.: 151.8 hPa        	     	                       	          	2.: 74.2 hPa    	       	             	
Max Winds:              	     	                       	1.: 191.1 hPa        	     	                       	          	2.: 108.0 hPa   	       	             	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                   	Ws   	Wd                     	Long.     	Lat.            	Alt    	Geopot       	MRI       	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range  	D
[sec]                   	[hPa]	[?C]                   	[%]                  	[m/s]	[?]                    	[?]       	[?]             	[m]    	[m]          	          	       	[?C] 	[?C]          	[m/s]	[?]      	[?]     	[m]    	[kg/m3]
0                       	874.7	14.2                   	20                   	1.3  	203                    	-71.063000	-30.250400      	1283   	1283         	438.551   	237.120	-8.4 	14.6          	0.0  	30.2     	180     	0      	1.060635
1                       	873.7	14.4                   	19                   	1.3  	201                    	-71.063021	-30.250404      	1289   	1289         	438.983   	236.657	-8.5 	14.8          	5.7  	69.4     	249     	6      	1.058668
2                       	872.6	14.6                   	19                   	1.3  	199                    	-71.063043	-30.250409      	1294   	1294         	439.416   	236.196	-8.7 	15.0          	5.7  	69.5     	253     	12     	1.056705
3                       	871.6	14.8                   	18                   	1.3  	196                    	-71.063064	-30.250413      	1300   	1300         	439.866   	235.735	-8.9 	15.2          	5.7  	69.7     	254     	19     	1.054747
4                       	870.6	15.0                   	18                   	1.3  	193                    	-71.063086	-30.250417      	1306   	1305         	440.302   	235.275	-9.1 	15.4          	5.7  	69.6     	255     	25     	1.052792
5                       	869.6	15.2                   	17                   	1.4  	189                    	-71.063107	-30.250422      	1312   	1311         	440.738   	234.817	-9.3 	15.6          	5.7  	69.6     	255     	31     	1.050842
6                       	868.6	15.4                   	17                   	1.4  	185                    	-71.063129	-30.250426      	1317   	1317         	441.185   	234.369	-9.5 	15.7          	5.7  	69.6     	255     	37     	1.048939
7                       	868.1	15.5                   	16                   	1.4  	181                    	-71.063150	-30.250431      	1323   	1322         	441.811   	234.100	-9.8 	15.9          	5.7  	69.6     	256     	43     	1.047834
8                       	867.6	15.5                   	16                   	1.4  	176                    	-71.063172	-30.250435      	1329   	1328         	442.569   	233.963	-10.0	15.9          	5.7  	69.6     	256     	49     	1.047258
