Flight Information:
Launch Date:            	     	                       	Monday, 01 July 2019	     	                   	          	Launch Time:    	     	             	23:22:12  	          	        	End of Ascent:	     	         	00:35:44
Station name:           	     	                       	                    	     	                   	          	Number of sonde:	     	             	19001173
Ground values:
Pressure:               	     	                       	874.6 hPa           	     	                   	          	Temperature:    	     	             	14.3 ?C   	          	        	Humidity:     	     	         	19 %
Wind Direction:         	     	                       	108 ?               	     	                   	          	Wind Speed:     	     	             	1 m/s     	          	        	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-71.063 ?           	     	                   	          	Latitude:       	     	             	-30.250 ? 	          	        	Altitude:     	     	         	1283 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                    	     	                   	          	
Events:
Highest Point:          	     	                       	251.0 hPa           	     	                   	          	10626 m
Tropopauses:            	     	                       	                    	     	                   	          	                	     	             	
Max Winds:              	     	                       	1.: 258.0 hPa       	     	                   	          	                	     	             	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                  	Ws   	Wd                 	Long.     	Lat.            	Alt  	Geopot       	MRI       	RI        	Dewp.   	Virt. Temp    	Rs   	Elevation	Azimuth 	Range	D
[sec]                   	[hPa]	[?C]                   	[%]                 	[m/s]	[?]                	[?]       	[?]             	[m]  	[m]          	          	          	[?C]    	[?C]          	[m/s]	[?]      	[?]     	[m]  	[kg/m3]
0                       	874.6	14.3                   	19                  	0.9  	108                	-71.063000	-30.250400      	1283 	1283         	438.396   	236.965   	-8.9    	14.7          	0.0  	30.2     	180     	0    	1.060145
1                       	873.6	14.5                   	18                  	0.9  	109                	-71.063012	-30.250383      	1287 	1287         	438.501   	236.458   	-9.2    	14.9          	3.9  	65.2     	324     	5    	1.058022
2                       	872.5	14.8                   	18                  	1.0  	110                	-71.063023	-30.250366      	1291 	1291         	438.608   	235.953   	-9.6    	15.1          	3.9  	63.1     	327     	9    	1.055904
3                       	871.5	15.0                   	17                  	1.0  	111                	-71.063035	-30.250350      	1295 	1294         	438.741   	235.458   	-9.9    	15.4          	3.9  	62.6     	328     	14   	1.053832
4                       	871.2	15.2                   	16                  	1.0  	112                	-71.063046	-30.250333      	1299 	1298         	439.040   	235.144   	-10.3   	15.6          	3.9  	62.2     	328     	18   	1.052575
5                       	870.8	15.5                   	15                  	1.1  	113                	-71.063058	-30.250316      	1303 	1302         	439.340   	234.831   	-10.6   	15.8          	3.9  	62.0     	328     	22   	1.051319
6                       	870.5	15.7                   	15                  	1.1  	113                	-71.063069	-30.250299      	1307 	1306         	439.640   	234.519   	-11.0   	16.0          	3.9  	61.8     	328     	27   	1.050066
7                       	870.1	15.8                   	14                  	1.1  	114                	-71.063081	-30.250283      	1310 	1310         	440.021   	234.288   	-11.6   	16.1          	3.9  	61.7     	329     	31   	1.049177
8                       	869.7	15.8                   	14                  	1.2  	115                	-71.063092	-30.250266      	1314 	1313         	440.520   	234.175   	-11.9   	16.1          	3.9  	61.6     	329     	36   	1.048734
9                       	869.4	15.8                   	13                  	1.2  	115                	-71.063104	-30.250249      	1318 	1317         	441.043   	234.069   	-12.0   	16.1          	3.9  	61.6     	329     	40   	1.048291
10                      	869.0	15.8                   	13                  	1.3  	116                	-71.063115	-30.250232      	1322 	1321         	441.549   	233.964   	-12.2   	16.1          	3.9  	61.5     	329     	45   	1.047849
11                      	868.6	15.8                   	13                  	1.3  	116                	-71.063127	-30.250216      	1326 	1325         	442.052   	233.855   	-12.3   	16.1          	3.9  	61.5     	329     	49   	1.047393
12                      	868.2	15.8                   	13                  	1.3  	117                	-71.063138	-30.250199      	1330 	1328         	442.546   	233.736   	-12.5   	16.1          	3.9  	61.4     	329     	54   	1.046891
13                      	867.8	15.8                   	13                  	1.4  	117                	-71.063150	-30.250182      	1334 	1332         	443.039   	233.617   	-12.6   	16.1          	3.9  	61.4     	329     	58   	1.046390
14                      	867.3	15.8                   	13                  	1.4  	118                	-71.063161	-30.250165      	1338 	1336         	443.548   	233.498   	-12.8   	16.1          	3.9  	61.4     	329     	63   	1.045889
15                      	866.9	15.8                   	13                  	1.4  	118                	-71.063177	-30.250154      	1342 	1340         	444.042   	233.379   	-13.0   	16.1          	3.9  	61.6     	328     	67   	1.045388
16                      	866.6	15.8                   	12                  	1.5  	119                	-71.063200	-30.250150      	1346 	1344         	444.639   	233.286   	-13.1   	16.1          	4.4  	62.1     	325     	72   	1.045002
17                      	866.3	15.8                   	12                  	1.5  	119                	-71.063223	-30.250146      	1351 	1349         	445.244   	233.200   	-13.3   	16.1          	4.5  	62.6     	322     	76   	1.044650
18                      	866.0	15.8                   	12                  	1.5  	119                	-71.063245	-30.250142      	1355 	1353         	445.865   	233.114   	-13.4   	16.1          	4.5  	63.0     	320     	81   	1.044298
19                      	865.7	15.8                   	12                  	1.6  	120                	-71.063268	-30.250138      	1360 	1358         	446.486   	233.029   	-13.6   	16.1          	4.5  	63.3     	318     	86   	1.043947
20                      	865.4	15.8                   	12                  	1.6  	120                	-71.063291	-30.250134      	1364 	1362         	447.099   	232.935   	-13.8   	16.0          	4.5  	63.5     	316     	91   	1.043559
21                      	864.8	15.8                   	12                  	1.7  	120                	-71.063314	-30.250129      	1369 	1366         	447.672   	232.802   	-13.9   	16.0          	4.5  	63.7     	314     	96   	1.042988
22                      	864.3	15.7                   	11                  	1.7  	121                	-71.063336	-30.250125      	1373 	1371         	448.243   	232.682   	-14.1   	16.0          	4.5  	63.9     	313     	100  	1.042474
23                      	863.8	15.7                   	11                  	1.7  	121                	-71.063359	-30.250121      	1378 	1375         	448.830   	232.563   	-14.2   	16.0          	4.5  	64.0     	311     	105  	1.041960
24                      	863.3	15.7                   	11                  	1.8  	121                	-71.063382	-30.250117      	1382 	1380         	449.427   	232.453   	-14.4   	15.9          	4.5  	64.1     	310     	110  	1.041494
25                      	862.9	15.7                   	11                  	1.8  	122                	-71.063405	-30.250113      	1387 	1384         	450.043   	232.362   	-14.5   	15.9          	4.5  	64.2     	309     	115  	1.041109
26                      	862.5	15.6                   	11                  	1.8  	122                	-71.063427	-30.250109      	1391 	1389         	450.642   	232.271   	-14.7   	15.9          	4.5  	64.3     	308     	120  	1.040724
27                      	862.1	15.6                   	11                  	1.9  	122                	-71.063450	-30.250105      	1395 	1393         	451.258   	232.180   	-14.9   	15.8          	4.5  	64.4     	307     	125  	1.040340
28                      	861.7	15.6                   	11                  	1.9  	122                	-71.063473	-30.250101      	1400 	1398         	451.873   	232.089   	-15.0   	15.8          	4.5  	64.4     	306     	130  	1.039955
29                      	861.3	15.5                   	11                  	2.0  	123                	-71.063496	-30.250097      	1404 	1402         	452.479   	231.988   	-15.2   	15.8          	4.5  	64.4     	305     	135  	1.039527
30                      	860.7	15.5                   	10                  	2.0  	123                	-71.063518	-30.250093      	1409 	1407         	453.046   	231.865   	-15.3   	15.7          	4.5  	64.5     	304     	140  	1.038997
31                      	860.2	15.5                   	10                  	2.0  	122                	-71.063541	-30.250089      	1413 	1411         	453.629   	231.741   	-15.5   	15.7          	4.5  	64.5     	303     	145  	1.038466
32                      	859.7	15.4                   	10                  	2.0  	121                	-71.063564	-30.250085      	1418 	1416         	454.212   	231.618   	-15.7   	15.7          	4.5  	64.5     	303     	150  	1.037936
33                      	859.2	15.4                   	10                  	2.0  	120                	-71.063586	-30.250081      	1422 	1420         	454.795   	231.494   	-15.8   	15.6          	4.5  	64.5     	302     	155  	1.037406
34                      	858.7	15.4                   	10                  	2.0  	119                	-71.063609	-30.250077      	1427 	1425         	455.368   	231.376   	-16.0   	15.6          	4.5  	64.5     	301     	159  	1.036898
35                      	858.2	15.4                   	10                  	1.9  	118                	-71.063632	-30.250073      	1431 	1429         	455.961   	231.262   	-16.1   	15.6          	4.5  	64.5     	301     	164  	1.036406
36                      	857.7	15.3                   	10                  	1.9  	117                	-71.063655	-30.250069      	1436 	1433         	456.556   	231.152   	-16.3   	15.5          	4.5  	64.6     	300     	169  	1.035927
37                      	857.1	15.3                   	10                  	1.9  	116                	-71.063677	-30.250065      	1440 	1438         	457.152   	231.041   	-16.4   	15.5          	4.5  	64.6     	299     	174  	1.035447
38                      	856.6	15.2                   	10                  	1.9  	115                	-71.063700	-30.250061      	1445 	1442         	457.732   	230.930   	-16.6   	15.5          	4.5  	64.5     	299     	179  	1.034968
39                      	856.1	15.2                   	10                  	1.9  	114                	-71.063723	-30.250057      	1449 	1447         	458.326   	230.818   	-16.7   	15.4          	4.5  	64.5     	298     	184  	1.034480
40                      	855.6	15.2                   	9                   	1.9  	113                	-71.063746	-30.250053      	1454 	1451         	458.914   	230.698   	-16.8   	15.4          	4.5  	64.6     	298     	189  	1.033962
41                      	855.1	15.1                   	9                   	1.9  	112                	-71.063768	-30.250049      	1458 	1456         	459.501   	230.579   	-17.0   	15.3          	4.5  	64.5     	298     	194  	1.033444
42                      	854.5	15.1                   	9                   	1.9  	111                	-71.063791	-30.250045      	1463 	1460         	460.072   	230.460   	-17.1   	15.3          	4.5  	64.5     	297     	199  	1.032927
43                      	854.0	15.1                   	9                   	1.9  	110                	-71.063814	-30.250041      	1467 	1465         	460.660   	230.341   	-17.3   	15.3          	4.5  	64.5     	297     	204  	1.032409
44                      	853.6	15.0                   	9                   	1.9  	108                	-71.063837	-30.250037      	1472 	1469         	461.271   	230.246   	-17.4   	15.2          	4.5  	64.5     	296     	209  	1.032001
45                      	853.1	15.0                   	9                   	1.8  	107                	-71.063859	-30.250033      	1476 	1474         	461.891   	230.159   	-17.5   	15.2          	4.5  	64.5     	296     	214  	1.031629
46                      	852.7	15.0                   	9                   	1.8  	106                	-71.063881	-30.250029      	1481 	1478         	462.511   	230.073   	-17.7   	15.2          	4.5  	64.6     	296     	219  	1.031258
47                      	852.3	14.9                   	9                   	1.8  	105                	-71.063889	-30.250029      	1485 	1483         	463.147   	229.986   	-17.8   	15.1          	4.7  	64.9     	296     	223  	1.030887
48                      	851.9	14.9                   	9                   	1.8  	104                	-71.063897	-30.250029      	1490 	1488         	463.796   	229.898   	-18.0   	15.1          	4.7  	65.2     	295     	228  	1.030507
49                      	851.5	14.9                   	9                   	1.8  	103                	-71.063905	-30.250028      	1495 	1492         	464.441   	229.804   	-18.1   	15.0          	4.7  	65.6     	295     	233  	1.030101
50                      	851.0	14.8                   	9                   	1.8  	101                	-71.063913	-30.250028      	1499 	1497         	465.085   	229.711   	-18.2   	15.0          	4.7  	65.9     	295     	237  	1.029691
51                      	850.6	14.8                   	9                   	1.8  	100                	-71.063921	-30.250028      	1504 	1502         	465.729   	229.617   	-18.3   	15.0          	4.7  	66.2     	295     	242  	1.029283
52                      	850.1	14.8                   	8                   	1.8  	099                	-71.063928	-30.250027      	1509 	1506         	466.369   	229.518   	-18.4   	14.9          	4.7  	66.5     	295     	246  	1.028851
53                      	849.7	14.7                   	8                   	1.8  	098                	-71.063936	-30.250027      	1513 	1511         	466.991   	229.419   	-18.5   	14.9          	4.7  	66.7     	294     	251  	1.028417
54                      	849.2	14.7                   	8                   	1.8  	097                	-71.063944	-30.250027      	1518 	1516         	467.630   	229.320   	-18.6   	14.9          	4.7  	67.0     	294     	255  	1.027983
55                      	848.7	14.7                   	8                   	1.7  	095                	-71.063952	-30.250026      	1523 	1520         	468.269   	229.220   	-18.7   	14.8          	4.7  	67.3     	294     	260  	1.027549
56                      	848.3	14.6                   	8                   	1.7  	094                	-71.063960	-30.250026      	1527 	1525         	468.907   	229.121   	-18.8   	14.8          	4.7  	67.5     	294     	265  	1.027115
57                      	847.8	14.6                   	8                   	1.7  	093                	-71.063968	-30.250026      	1532 	1530         	469.551   	229.027   	-19.0   	14.8          	4.7  	67.8     	294     	269  	1.026706
58                      	847.5	14.5                   	8                   	1.7  	092                	-71.063976	-30.250025      	1537 	1534         	470.192   	228.945   	-19.1   	14.7          	4.7  	68.0     	294     	274  	1.026349
59                      	847.1	14.5                   	8                   	1.7  	090                	-71.063984	-30.250025      	1541 	1539         	470.848   	228.863   	-19.2   	14.7          	4.7  	68.2     	294     	278  	1.025993
60                      	846.7	14.5                   	8                   	1.7  	089                	-71.063992	-30.250025      	1546 	1544         	471.504   	228.782   	-19.3   	14.7          	4.7  	68.4     	293     	283  	1.025637
61                      	846.3	14.4                   	8                   	1.6  	090                	-71.064000	-30.250024      	1551 	1548         	472.159   	228.700   	-19.4   	14.6          	4.7  	68.6     	293     	288  	1.025281
62                      	845.8	14.4                   	8                   	1.6  	090                	-71.064008	-30.250024      	1555 	1553         	472.789   	228.591   	-19.5   	14.6          	4.7  	68.8     	293     	292  	1.024802
63                      	845.3	14.4                   	8                   	1.6  	090                	-71.064016	-30.250024      	1560 	1558         	473.418   	228.483   	-19.5   	14.5          	4.7  	69.0     	293     	297  	1.024315
64                      	844.7	14.3                   	8                   	1.5  	091                	-71.064024	-30.250024      	1565 	1562         	474.039   	228.381   	-19.6   	14.5          	4.7  	69.2     	293     	301  	1.023857
65                      	844.2	14.3                   	8                   	1.5  	091                	-71.064032	-30.250023      	1569 	1567         	474.675   	228.279   	-19.6   	14.4          	4.7  	69.4     	293     	306  	1.023400
66                      	843.7	14.2                   	8                   	1.4  	092                	-71.064040	-30.250023      	1574 	1572         	475.311   	228.177   	-19.6   	14.4          	4.7  	69.6     	293     	311  	1.022944
67                      	843.2	14.2                   	8                   	1.4  	092                	-71.064048	-30.250023      	1579 	1576         	475.947   	228.076   	-19.7   	14.4          	4.7  	69.8     	292     	315  	1.022489
68                      	842.7	14.1                   	8                   	1.3  	093                	-71.064056	-30.250022      	1584 	1581         	476.584   	227.975   	-19.7   	14.3          	4.7  	69.9     	292     	320  	1.022035
69                      	842.2	14.1                   	8                   	1.3  	094                	-71.064064	-30.250022      	1588 	1586         	477.205   	227.874   	-19.8   	14.3          	4.7  	70.1     	292     	325  	1.021582
70                      	841.7	14.1                   	8                   	1.3  	094                	-71.064072	-30.250022      	1593 	1590         	477.842   	227.772   	-19.8   	14.2          	4.7  	70.3     	292     	329  	1.021128
71                      	841.2	14.0                   	8                   	1.2  	095                	-71.064080	-30.250021      	1598 	1595         	478.482   	227.674   	-19.8   	14.2          	4.7  	70.4     	292     	334  	1.020688
72                      	840.7	14.0                   	8                   	1.2  	096                	-71.064088	-30.250021      	1602 	1600         	479.122   	227.577   	-19.9   	14.1          	4.7  	70.6     	292     	339  	1.020250
73                      	840.2	13.9                   	8                   	1.1  	097                	-71.064096	-30.250021      	1607 	1604         	479.763   	227.479   	-19.9   	14.1          	4.7  	70.7     	292     	343  	1.019812
74                      	839.7	13.9                   	8                   	1.1  	098                	-71.064104	-30.250020      	1612 	1609         	480.403   	227.382   	-20.0   	14.0          	4.7  	70.9     	291     	348  	1.019375
75                      	839.2	13.8                   	8                   	1.0  	099                	-71.064112	-30.250020      	1616 	1614         	481.030   	227.287   	-20.0   	14.0          	4.7  	71.0     	291     	353  	1.018949
76                      	838.7	13.8                   	8                   	1.0  	100                	-71.064120	-30.250020      	1621 	1618         	481.678   	227.197   	-20.0   	13.9          	4.7  	71.1     	291     	357  	1.018542
77                      	838.3	13.7                   	8                   	1.0  	101                	-71.064122	-30.250017      	1626 	1623         	482.310   	227.107   	-20.0   	13.9          	4.6  	71.3     	291     	362  	1.018134
78                      	837.8	13.7                   	8                   	0.9  	103                	-71.064116	-30.250012      	1630 	1627         	482.909   	227.015   	-20.0   	13.8          	4.4  	71.6     	292     	366  	1.017715
79                      	837.3	13.6                   	8                   	0.9  	104                	-71.064109	-30.250006      	1634 	1632         	483.508   	226.922   	-20.0   	13.8          	4.4  	71.8     	292     	370  	1.017297
80                      	836.9	13.6                   	8                   	0.8  	106                	-71.064103	-30.250001      	1639 	1636         	484.122   	226.831   	-20.0   	13.8          	4.4  	72.1     	292     	374  	1.016881
81                      	836.4	13.6                   	8                   	0.8  	108                	-71.064097	-30.249995      	1643 	1641         	484.722   	226.739   	-20.0   	13.7          	4.4  	72.4     	293     	378  	1.016466
82                      	835.9	13.5                   	8                   	0.7  	111                	-71.064091	-30.249990      	1648 	1645         	485.321   	226.648   	-20.0   	13.7          	4.4  	72.6     	293     	382  	1.016050
83                      	835.4	13.5                   	8                   	0.7  	113                	-71.064085	-30.249984      	1652 	1649         	485.936   	226.556   	-20.1   	13.6          	4.4  	72.8     	294     	386  	1.015635
84                      	835.0	13.4                   	8                   	0.7  	116                	-71.064078	-30.249979      	1657 	1654         	486.540   	226.470   	-20.1   	13.6          	4.4  	73.1     	294     	391  	1.015243
85                      	834.6	13.4                   	8                   	0.6  	120                	-71.064072	-30.249973      	1661 	1658         	487.151   	226.390   	-20.1   	13.5          	4.4  	73.3     	294     	395  	1.014878
86                      	834.2	13.3                   	8                   	0.6  	124                	-71.064066	-30.249968      	1665 	1663         	487.762   	226.310   	-20.1   	13.5          	4.4  	73.5     	295     	399  	1.014514
87                      	833.7	13.3                   	8                   	0.5  	128                	-71.064060	-30.249962      	1670 	1667         	488.388   	226.230   	-20.1   	13.5          	4.4  	73.7     	295     	403  	1.014150
