Flight Information:
Launch Date:            	                       	Tuesday, 02 July 2019	   	                   	Launch Time:    	          	00:22:37     	       	End of Ascent:	        	           	01:27:58
Station name:           	                       	                     	   	                   	Number of sonde:	          	19002442
Ground values:
Pressure:               	                       	874.5 hPa            	   	                   	Temperature:    	          	14.1 ?C      	       	Humidity:     	        	           	14 %
Wind Direction:         	                       	63 ?                 	   	                   	Wind Speed:     	          	0 m/s        	       	Cloud group:  	        	           	9////
Position:
Longitude:              	                       	-71.063 ?            	   	                   	Latitude:       	          	-30.250 ?    	       	Altitude:     	        	           	1283 m
Staff:
Company:                	                       	
Operator:               	                       	                     	   	                   	
Events:
Highest Point:          	                       	9.1 hPa              	   	                   	31978 m
Tropopauses:            	                       	1.: 177.0 hPa        	   	                   	                	          	
Max Winds:              	                       	1.: 193.0 hPa        	   	                   	                	          	
Remarks:

Profile Data:
Time                    	P                      	T                    	Hu 	Ws                 	Wd              	Long.     	Lat.         	Alt    	Geopot        	Dewp.   	Virt. Temp 	Rs      	D
[sec]                   	[hPa]                  	[?C]                 	[%]	[m/s]              	[?]             	[?]       	[?]          	[m]    	[m]           	[?C]    	[?C]       	[m/s]   	[kg/m3]
0                       	874.5                  	14.1                 	14 	0.3                	063             	-71.063000	-30.250400   	1283   	1283          	-12.9   	14.4       	0.0     	1.060762
1                       	873.4                  	14.5                 	13 	0.3                	064             	-71.063014	-30.250413   	1289   	1289          	-13.1   	14.8       	5.6     	1.057958
2                       	872.2                  	14.9                 	13 	0.4                	065             	-71.063027	-30.250425   	1294   	1294          	-13.3   	15.1       	5.6     	1.055163
3                       	871.2                  	15.3                 	12 	0.4                	065             	-71.063041	-30.250438   	1300   	1299          	-13.5   	15.5       	5.6     	1.052479
4                       	870.7                  	15.6                 	12 	0.5                	066             	-71.063054	-30.250451   	1306   	1305          	-13.8   	15.9       	5.6     	1.050489
5                       	870.2                  	16.0                 	11 	0.5                	066             	-71.063068	-30.250464   	1311   	1310          	-14.1   	16.3       	5.6     	1.048505
6                       	869.7                  	16.4                 	11 	0.5                	066             	-71.063081	-30.250476   	1317   	1316          	-14.4   	16.7       	5.6     	1.046526
7                       	869.2                  	16.6                 	10 	0.6                	067             	-71.063095	-30.250489   	1322   	1321          	-14.7   	16.8       	5.6     	1.045385
8                       	868.6                  	16.5                 	10 	0.6                	067             	-71.063108	-30.250502   	1328   	1327          	-14.9   	16.7       	5.6     	1.044900
