Flight Information:
Launch Date:            	     	                       	Tuesday, 02 July 2019	     	                       	          	Launch Time:    	       	             	01:19:35  	          	        	End of Ascent:	     	         	01:21:15
Station name:           	     	                       	                     	     	                       	          	Number of sonde:	       	             	19002701
Ground values:
Pressure:               	     	                       	874.3 hPa            	     	                       	          	Temperature:    	       	             	15.2 ?C   	          	        	Humidity:     	     	         	11 %
Wind Direction:         	     	                       	53 ?                 	     	                       	          	Wind Speed:     	       	             	1 m/s     	          	        	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-71.063 ?            	     	                       	          	Latitude:       	       	             	-30.250 ? 	          	        	Altitude:     	     	         	1283 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                     	     	                       	          	
Events:
Highest Point:          	     	                       	9.2 hPa              	     	                       	          	31622 m
Tropopauses:            	     	                       	1.: 174.3 hPa        	     	                       	          	2.: 70.4 hPa    	       	             	
Max Winds:              	     	                       	1.: 182.0 hPa        	     	                       	          	2.: 62.3 hPa    	       	             	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                   	Ws   	Wd                     	Long.     	Lat.            	Alt    	Geopot       	MRI       	RI        	Dewp.   	Virt. Temp    	Rs   	Elevation	Azimuth 	Range  	D
[sec]                   	[hPa]	[?C]                   	[%]                  	[m/s]	[?]                    	[?]       	[?]             	[m]    	[m]          	          	          	[?C]    	[?C]          	[m/s]	[?]      	[?]     	[m]    	[kg/m3]
0                       	874.3	15.2                   	11                   	1.3  	053                    	-71.063000	-30.250400      	1283   	1283         	437.214   	235.783   	-15.0   	15.4          	0.0  	30.2     	180     	0      	1.056474
1                       	873.1	15.3                   	11                   	1.3  	054                    	-71.063017	-30.250399      	1289   	1289         	437.720   	235.379   	-14.7   	15.6          	5.8  	74.4     	261     	6      	1.054623
2                       	871.9	15.4                   	11                   	1.3  	055                    	-71.063034	-30.250399      	1295   	1294         	438.228   	234.976   	-14.4   	15.7          	5.8  	74.3     	267     	12     	1.052775
3                       	870.7	15.5                   	12                   	1.3  	056                    	-71.063052	-30.250398      	1300   	1300         	438.736   	234.573   	-14.1   	15.8          	5.8  	74.2     	269     	18     	1.050931
4                       	869.6	15.7                   	12                   	1.4  	057                    	-71.063069	-30.250397      	1306   	1306         	439.246   	234.172   	-13.8   	15.9          	5.8  	74.2     	270     	24     	1.049095
5                       	869.0	15.8                   	12                   	1.4  	058                    	-71.063086	-30.250397      	1312   	1311         	439.919   	233.935   	-13.5   	16.0          	5.8  	74.2     	270     	30     	1.047995
6                       	868.4	15.9                   	12                   	1.4  	060                    	-71.063103	-30.250396      	1318   	1317         	440.593   	233.699   	-13.2   	16.2          	5.8  	74.2     	271     	36     	1.046896
7                       	867.8	15.9                   	12                   	1.4  	061                    	-71.063120	-30.250395      	1324   	1323         	441.320   	233.515   	-13.1   	16.2          	5.8  	74.1     	271     	42     	1.046055
8                       	867.3	15.9                   	12                   	1.4  	062                    	-71.063138	-30.250394      	1329   	1329         	442.086   	233.371   	-13.3   	16.2          	5.8  	74.1     	271     	48     	1.045442
9                       	866.7	15.9                   	12                   	1.4  	063                    	-71.063155	-30.250394      	1335   	1334         	442.853   	233.226   	-13.5   	16.2          	5.8  	74.1     	271     	54     	1.044829
10                      	866.2	15.9                   	12                   	1.5  	064                    	-71.063172	-30.250393      	1341   	1340         	443.619   	233.082   	-13.7   	16.1          	5.8  	74.1     	272     	60     	1.044216
11                      	865.6	15.9                   	12                   	1.5  	064                    	-71.063189	-30.250392      	1347   	1346         	444.386   	232.938   	-13.9   	16.1          	5.8  	74.1     	272     	67     	1.043604
12                      	865.0	15.8                   	11                   	1.5  	065                    	-71.063206	-30.250392      	1353   	1351         	445.146   	232.788   	-14.1   	16.1          	5.8  	74.1     	272     	73     	1.042963
13                      	864.4	15.8                   	11                   	1.5  	066                    	-71.063223	-30.250391      	1358   	1357         	445.904   	232.635   	-14.3   	16.1          	5.8  	74.1     	272     	79     	1.042311
14                      	863.8	15.8                   	11                   	1.5  	067                    	-71.063241	-30.250390      	1364   	1363         	446.662   	232.483   	-14.5   	16.0          	5.8  	74.1     	272     	85     	1.041660
15                      	863.2	15.8                   	11                   	1.5  	068                    	-71.063257	-30.250391      	1370   	1368         	447.420   	232.330   	-14.7   	16.0          	5.8  	74.1     	272     	91     	1.041009
16                      	862.6	15.8                   	11                   	1.5  	069                    	-71.063272	-30.250396      	1376   	1374         	448.178   	232.178   	-14.9   	16.0          	5.8  	74.3     	270     	97     	1.040360
17                      	862.1	15.7                   	11                   	1.6  	070                    	-71.063287	-30.250401      	1382   	1380         	448.938   	232.027   	-15.1   	16.0          	5.8  	74.4     	269     	103    	1.039717
18                      	861.5	15.7                   	10                   	1.6  	071                    	-71.063302	-30.250405      	1387   	1385         	449.698   	231.876   	-15.3   	16.0          	5.8  	74.5     	268     	109    	1.039075
19                      	860.9	15.7                   	10                   	1.6  	071                    	-71.063317	-30.250410      	1393   	1391         	450.443   	231.726   	-15.5   	15.9          	5.7  	74.5     	267     	114    	1.038433
20                      	860.3	15.7                   	10                   	1.6  	072                    	-71.063332	-30.250415      	1399   	1397         	451.179   	231.583   	-15.7   	15.9          	5.5  	74.6     	266     	120    	1.037819
21                      	859.7	15.7                   	10                   	1.6  	073                    	-71.063346	-30.250420      	1404   	1402         	451.909   	231.449   	-15.8   	15.9          	5.5  	74.6     	266     	126    	1.037232
22                      	859.2	15.6                   	10                   	1.6  	074                    	-71.063361	-30.250425      	1410   	1408         	452.639   	231.316   	-15.9   	15.9          	5.5  	74.6     	265     	132    	1.036651
23                      	858.6	15.6                   	10                   	1.7  	074                    	-71.063376	-30.250429      	1415   	1413         	453.385   	231.183   	-16.1   	15.8          	5.5  	74.6     	264     	137    	1.036069
24                      	858.0	15.6                   	10                   	1.7  	075                    	-71.063391	-30.250434      	1421   	1419         	454.116   	231.050   	-16.2   	15.8          	5.5  	74.7     	264     	143    	1.035488
25                      	857.5	15.5                   	10                   	1.7  	076                    	-71.063406	-30.250439      	1426   	1424         	454.846   	230.917   	-16.3   	15.8          	5.5  	74.7     	263     	149    	1.034905
26                      	856.9	15.5                   	10                   	1.7  	077                    	-71.063421	-30.250444      	1432   	1430         	455.590   	230.782   	-16.4   	15.7          	5.5  	74.7     	263     	155    	1.034316
27                      	856.3	15.5                   	9                    	1.7  	077                    	-71.063436	-30.250449      	1437   	1435         	456.319   	230.647   	-16.5   	15.7          	5.5  	74.7     	262     	160    	1.033728
28                      	855.7	15.5                   	9                    	1.7  	078                    	-71.063450	-30.250453      	1443   	1441         	457.048   	230.513   	-16.7   	15.7          	5.5  	74.7     	262     	166    	1.033140
29                      	855.2	15.4                   	9                    	1.7  	079                    	-71.063465	-30.250458      	1448   	1446         	457.777   	230.379   	-16.8   	15.6          	5.5  	74.7     	261     	172    	1.032552
30                      	854.6	15.4                   	9                    	1.8  	079                    	-71.063480	-30.250463      	1454   	1452         	458.526   	230.248   	-16.9   	15.6          	5.5  	74.7     	261     	177    	1.031979
31                      	854.1	15.4                   	9                    	1.7  	078                    	-71.063495	-30.250468      	1460   	1457         	459.259   	230.117   	-17.0   	15.6          	5.5  	74.7     	261     	183    	1.031410
32                      	853.5	15.3                   	9                    	1.7  	078                    	-71.063510	-30.250473      	1465   	1463         	459.992   	229.987   	-17.2   	15.5          	5.5  	74.7     	260     	189    	1.030841
33                      	852.9	15.3                   	9                    	1.7  	077                    	-71.063525	-30.250477      	1471   	1468         	460.746   	229.861   	-17.3   	15.5          	5.5  	74.7     	260     	195    	1.030292
34                      	852.4	15.3                   	9                    	1.7  	076                    	-71.063540	-30.250482      	1476   	1474         	461.506   	229.758   	-17.3   	15.5          	5.5  	74.7     	260     	200    	1.029821
