Flight Information:
Launch Date:            	                        	Tuesday, 02 July 2019	   	                   	Launch Time:    	          	03:22:40     	       	End of Ascent:	        	           	01:01:35
Station name:           	                        	                     	   	                   	Number of sonde:	          	19001552
Ground values:
Pressure:               	                        	874.4 hPa            	   	                   	Temperature:    	          	15.1 ?C      	       	Humidity:     	        	           	11 %
Wind Direction:         	                        	124 ?                	   	                   	Wind Speed:     	          	1 m/s        	       	Cloud group:  	        	           	9////
Position:
Longitude:              	                        	-71.063 ?            	   	                   	Latitude:       	          	-30.250 ?    	       	Altitude:     	        	           	1283 m
Staff:
Company:                	                        	
Operator:               	                        	                     	   	                   	
Events:
Highest Point:          	                        	31.3 hPa             	   	                   	23616 m
Tropopauses:            	                        	1.: 147.0 hPa        	   	                   	                	          	
Max Winds:              	                        	1.: 203.9 hPa        	   	                   	2.: 34.7 hPa    	          	
Remarks:

Profile Data:
Time                    	P                       	T                    	Hu 	Ws                 	Wd              	Long.     	Lat.         	Alt    	Geopot        	Dewp.   	Virt. Temp 	Rs      	D
[sec]                   	[hPa]                   	[?C]                 	[%]	[m/s]              	[?]             	[?]       	[?]          	[m]    	[m]           	[?C]    	[?C]       	[m/s]   	[kg/m3]
0                       	874.4                   	15.1                 	11 	0.7                	124             	-71.063000	-30.250400   	1283   	1283          	-15.0   	15.3       	0.0     	1.056961
1                       	873.2                   	15.3                 	11 	0.7                	119             	-71.063005	-30.250415   	1288   	1288          	-14.6   	15.6       	5.4     	1.054661
2                       	872.0                   	15.5                 	12 	0.8                	114             	-71.063011	-30.250429   	1294   	1294          	-14.1   	15.8       	5.4     	1.052367
3                       	871.3                   	15.8                 	12 	0.8                	109             	-71.063016	-30.250444   	1299   	1299          	-13.7   	16.0       	5.4     	1.050784
4                       	870.8                   	16.0                 	12 	0.8                	103             	-71.063021	-30.250458   	1305   	1304          	-13.2   	16.3       	5.4     	1.049349
5                       	870.3                   	16.2                 	12 	0.9                	097             	-71.063026	-30.250473   	1310   	1309          	-12.8   	16.5       	5.4     	1.047916
6                       	869.8                   	16.4                 	13 	0.9                	091             	-71.063032	-30.250488   	1315   	1315          	-12.4   	16.7       	5.4     	1.046485
7                       	869.2                   	16.5                 	13 	0.9                	085             	-71.063037	-30.250502   	1321   	1320          	-12.0   	16.8       	5.4     	1.045399
8                       	868.5                   	16.5                 	13 	1.0                	079             	-71.063042	-30.250517   	1326   	1325          	-12.0   	16.8       	5.4     	1.044861
